tcdc,lon,lat
2.5,-120.094,38.62627
3.0,-120.5208,38.8577
1.75,-120.1582,38.90858
0.75,-119.795,38.9581
1.375,-120.223,39.19109
0.625,-119.8581,39.24089
1.0,-120.2885,39.4738
0.75,-119.9218,39.5239
27.625,-120.4549,38.57567
17.5,-120.094,38.62627
24.75,-120.5208,38.8577
15.375,-120.1582,38.90858
13.5,-119.795,38.9581
13.625,-120.223,39.19109
14.75,-119.8581,39.24089
12.125,-120.2885,39.4738
11.625,-119.9218,39.5239
80.375,-120.4549,38.57567
63.125,-120.094,38.62627
79.5,-120.5208,38.8577
67.875,-120.1582,38.90858
63.625,-119.795,38.9581
67.5,-120.223,39.19109
63.875,-119.8581,39.24089
63.625,-120.2885,39.4738
64.25,-119.9218,39.5239
96.625,-120.4549,38.57567
68.75,-120.094,38.62627
98.75,-120.5208,38.8577
71.5,-120.1582,38.90858
59.875,-119.795,38.9581
79.125,-120.223,39.19109
66.125,-119.8581,39.24089
75.375,-120.2885,39.4738
76.75,-119.9218,39.5239
96.375,-120.4549,38.57567
88.625,-120.094,38.62627
96.875,-120.5208,38.8577
85.375,-120.1582,38.90858
72.875,-119.795,38.9581
85.125,-120.223,39.19109
83.75,-119.8581,39.24089
76.25,-120.2885,39.4738
68.875,-119.9218,39.5239
94.5,-120.4549,38.57567
92.875,-120.094,38.62627
94.625,-120.5208,38.8577
94.25,-120.1582,38.90858
92.125,-119.795,38.9581
95.0,-120.223,39.19109
90.125,-119.8581,39.24089
95.75,-120.2885,39.4738
91.25,-119.9218,39.5239
53.625,-120.4549,38.57567
43.0,-120.094,38.62627
66.125,-120.5208,38.8577
53.375,-120.1582,38.90858
47.875,-119.795,38.9581
62.75,-120.223,39.19109
54.5,-119.8581,39.24089
68.875,-120.2885,39.4738
62.25,-119.9218,39.5239
79.0,-120.4549,38.57567
58.25,-120.094,38.62627
77.375,-120.5208,38.8577
60.5,-120.1582,38.90858
54.75,-119.795,38.9581
66.75,-120.223,39.19109
61.125,-119.8581,39.24089
67.0,-120.2885,39.4738
64.25,-119.9218,39.5239
89.625,-120.4549,38.57567
96.25,-120.094,38.62627
91.625,-120.5208,38.8577
87.75,-120.1582,38.90858
85.25,-119.795,38.9581
83.125,-120.223,39.19109
80.5,-119.8581,39.24089
82.0,-120.2885,39.4738
84.625,-119.9218,39.5239
10.0,-120.4549,38.57567
12.0,-120.094,38.62627
10.25,-120.5208,38.8577
12.75,-120.1582,38.90858
27.5,-119.795,38.9581
15.375,-120.223,39.19109
21.0,-119.8581,39.24089
18.0,-120.2885,39.4738
26.5,-119.9218,39.5239
18.875,-120.4549,38.57567
19.375,-120.094,38.62627
23.0,-120.5208,38.8577
22.0,-120.1582,38.90858
23.375,-119.795,38.9581
25.5,-120.223,39.19109
27.75,-119.8581,39.24089
31.5,-120.2885,39.4738
33.5,-119.9218,39.5239
3.125,-120.4549,38.57567
2.75,-120.094,38.62627
2.875,-120.5208,38.8577
2.25,-120.1582,38.90858
2.125,-119.795,38.9581
2.125,-120.223,39.19109
2.0,-119.8581,39.24089
2.0,-120.2885,39.4738
1.75,-119.9218,39.5239
5.75,-120.4549,38.57567
5.875,-120.094,38.62627
6.625,-120.5208,38.8577
6.625,-120.1582,38.90858
6.375,-119.795,38.9581
7.375,-120.223,39.19109
8.375,-119.8581,39.24089
8.125,-120.2885,39.4738
9.25,-119.9218,39.5239
12.5,-120.4549,38.57567
9.5,-120.094,38.62627
12.625,-120.5208,38.8577
9.25,-120.1582,38.90858
7.75,-119.795,38.9581
9.0,-120.223,39.19109
8.0,-119.8581,39.24089
9.25,-120.2885,39.4738
8.875,-119.9218,39.5239
67.0,-120.4549,38.57567
63.875,-120.094,38.62627
66.75,-120.5208,38.8577
62.5,-120.1582,38.90858
59.0,-119.795,38.9581
60.0,-120.223,39.19109
58.0,-119.8581,39.24089
57.625,-120.2885,39.4738
58.0,-119.9218,39.5239
70.25,-120.4549,38.57567
65.25,-120.094,38.62627
70.75,-120.5208,38.8577
63.875,-120.1582,38.90858
57.125,-119.795,38.9581
61.375,-120.223,39.19109
56.25,-119.8581,39.24089
59.75,-120.2885,39.4738
56.125,-119.9218,39.5239
73.125,-120.4549,38.57567
73.25,-120.094,38.62627
76.125,-120.5208,38.8577
76.625,-120.1582,38.90858
77.625,-119.795,38.9581
76.25,-120.223,39.19109
76.25,-119.8581,39.24089
72.625,-120.2885,39.4738
73.125,-119.9218,39.5239
46.0,-120.4549,38.57567
32.625,-120.094,38.62627
44.875,-120.5208,38.8577
30.875,-120.1582,38.90858
19.375,-119.795,38.9581
27.625,-120.223,39.19109
15.875,-119.8581,39.24089
21.5,-120.2885,39.4738
14.25,-119.9218,39.5239
19.125,-120.4549,38.57567
4.875,-120.094,38.62627
8.25,-120.5208,38.8577
2.75,-120.1582,38.90858
1.125,-119.795,38.9581
2.375,-120.223,39.19109
1.25,-119.8581,39.24089
3.125,-120.2885,39.4738
2.5,-119.9218,39.5239
36.875,-120.4549,38.57567
29.25,-120.094,38.62627
41.125,-120.5208,38.8577
37.375,-120.1582,38.90858
33.5,-119.795,38.9581
39.875,-120.223,39.19109
31.25,-119.8581,39.24089
36.625,-120.2885,39.4738
32.375,-119.9218,39.5239
96.0,-120.4549,38.57567
79.125,-120.094,38.62627
96.375,-120.5208,38.8577
82.5,-120.1582,38.90858
74.625,-119.795,38.9581
86.875,-120.223,39.19109
76.125,-119.8581,39.24089
86.25,-120.2885,39.4738
79.625,-119.9218,39.5239
95.75,-120.4549,38.57567
83.5,-120.094,38.62627
98.375,-120.5208,38.8577
78.625,-120.1582,38.90858
76.75,-119.795,38.9581
84.75,-120.223,39.19109
80.5,-119.8581,39.24089
79.75,-120.2885,39.4738
81.5,-119.9218,39.5239
98.875,-120.4549,38.57567
90.25,-120.094,38.62627
99.25,-120.5208,38.8577
80.375,-120.1582,38.90858
61.25,-119.795,38.9581
78.875,-120.223,39.19109
70.5,-119.8581,39.24089
64.625,-120.2885,39.4738
53.75,-119.9218,39.5239
99.125,-120.4549,38.57567
99.375,-120.094,38.62627
99.875,-120.5208,38.8577
99.0,-120.1582,38.90858
95.375,-119.795,38.9581
98.75,-120.223,39.19109
97.5,-119.8581,39.24089
98.0,-120.2885,39.4738
96.25,-119.9218,39.5239
48.5,-120.4549,38.57567
28.5,-120.094,38.62627
61.375,-120.5208,38.8577
31.5,-120.1582,38.90858
38.0,-119.795,38.9581
32.375,-120.223,39.19109
42.75,-119.8581,39.24089
29.0,-120.2885,39.4738
46.125,-119.9218,39.5239
17.75,-120.4549,38.57567
15.875,-120.094,38.62627
21.5,-120.5208,38.8577
19.125,-120.1582,38.90858
17.375,-119.795,38.9581
22.625,-120.223,39.19109
17.0,-119.8581,39.24089
27.125,-120.2885,39.4738
19.25,-119.9218,39.5239
84.0,-120.4549,38.57567
69.375,-120.094,38.62627
88.5,-120.5208,38.8577
70.875,-120.1582,38.90858
70.75,-119.795,38.9581
76.375,-120.223,39.19109
79.375,-119.8581,39.24089
72.125,-120.2885,39.4738
76.625,-119.9218,39.5239
92.75,-120.4549,38.57567
74.25,-120.094,38.62627
94.0,-120.5208,38.8577
73.5,-120.1582,38.90858
67.625,-119.795,38.9581
77.5,-120.223,39.19109
71.5,-119.8581,39.24089
71.375,-120.2885,39.4738
62.5,-119.9218,39.5239
99.625,-120.4549,38.57567
97.25,-120.094,38.62627
97.0,-120.5208,38.8577
94.75,-120.1582,38.90858
83.0,-119.795,38.9581
93.75,-120.223,39.19109
90.75,-119.8581,39.24089
91.125,-120.2885,39.4738
86.875,-119.9218,39.5239
20.625,-120.4549,38.57567
5.0,-120.094,38.62627
33.875,-120.5208,38.8577
9.25,-120.1582,38.90858
9.625,-119.795,38.9581
14.375,-120.223,39.19109
12.875,-119.8581,39.24089
16.5,-120.2885,39.4738
14.125,-119.9218,39.5239
46.0,-120.4549,38.57567
29.0,-120.094,38.62627
44.875,-120.5208,38.8577
31.75,-120.1582,38.90858
27.625,-119.795,38.9581
33.625,-120.223,39.19109
32.0,-119.8581,39.24089
36.75,-120.2885,39.4738
41.375,-119.9218,39.5239
94.875,-120.4549,38.57567
73.25,-120.094,38.62627
94.75,-120.5208,38.8577
70.0,-120.1582,38.90858
56.5,-119.795,38.9581
73.625,-120.223,39.19109
61.125,-119.8581,39.24089
70.625,-120.2885,39.4738
74.125,-119.9218,39.5239
98.125,-120.4549,38.57567
84.25,-120.094,38.62627
99.125,-120.5208,38.8577
83.5,-120.1582,38.90858
66.25,-119.795,38.9581
84.25,-120.223,39.19109
74.0,-119.8581,39.24089
79.125,-120.2885,39.4738
75.5,-119.9218,39.5239
98.375,-120.4549,38.57567
81.5,-120.094,38.62627
98.5,-120.5208,38.8577
83.375,-120.1582,38.90858
65.0,-119.795,38.9581
81.625,-120.223,39.19109
70.625,-119.8581,39.24089
76.25,-120.2885,39.4738
57.375,-119.9218,39.5239
94.25,-120.4549,38.57567
73.25,-120.094,38.62627
98.875,-120.5208,38.8577
76.375,-120.1582,38.90858
73.75,-119.795,38.9581
82.125,-120.223,39.19109
77.625,-119.8581,39.24089
80.125,-120.2885,39.4738
72.125,-119.9218,39.5239
94.375,-120.4549,38.57567
80.0,-120.094,38.62627
99.375,-120.5208,38.8577
94.625,-120.1582,38.90858
97.875,-119.795,38.9581
95.875,-120.223,39.19109
99.125,-119.8581,39.24089
92.625,-120.2885,39.4738
90.125,-119.9218,39.5239
21.5,-120.4549,38.57567
26.25,-120.094,38.62627
24.0,-120.5208,38.8577
37.375,-120.1582,38.90858
52.875,-119.795,38.9581
30.625,-120.223,39.19109
42.125,-119.8581,39.24089
22.875,-120.2885,39.4738
37.875,-119.9218,39.5239
3.875,-120.4549,38.57567
4.375,-120.094,38.62627
4.375,-120.5208,38.8577
4.75,-120.1582,38.90858
5.5,-119.795,38.9581
5.25,-120.223,39.19109
5.25,-119.8581,39.24089
5.0,-120.2885,39.4738
5.0,-119.9218,39.5239
72.625,-120.4549,38.57567
73.125,-120.094,38.62627
79.5,-120.5208,38.8577
76.625,-120.1582,38.90858
77.5,-119.795,38.9581
76.125,-120.223,39.19109
79.5,-119.8581,39.24089
70.875,-120.2885,39.4738
76.75,-119.9218,39.5239
