shtfl,lon,lat
17.194672,-120.1582,38.90858
6.811859,-119.795,38.9581
12.733734,-120.223,39.19109
8.905609,-119.8581,39.24089
8.514984,-120.2885,39.4738
0.68685913,-119.9218,39.5239
30.060486,-120.4549,38.57567
35.48236,-120.094,38.62627
-4.595764,-120.5208,38.8577
27.568298,-120.1582,38.90858
25.958923,-119.795,38.9581
26.708923,-120.223,39.19109
20.88861,-119.8581,39.24089
23.177673,-120.2885,39.4738
2.9979858,-119.9218,39.5239
25.422607,-120.4549,38.57567
54.703857,-120.094,38.62627
-0.28051758,-120.5208,38.8577
39.766357,-120.1582,38.90858
36.156982,-119.795,38.9581
27.80542,-120.223,39.19109
26.508545,-119.8581,39.24089
34.375732,-120.2885,39.4738
8.250732,-119.9218,39.5239
35.30066,-120.4549,38.57567
92.05847,-120.094,38.62627
9.316284,-120.5208,38.8577
55.23816,-120.1582,38.90858
37.76941,-119.795,38.9581
45.96472,-120.223,39.19109
41.64441,-119.8581,39.24089
55.511597,-120.2885,39.4738
1.9256592,-119.9218,39.5239
30.12091,-120.4549,38.57567
70.292786,-120.094,38.62627
29.472473,-120.5208,38.8577
47.066223,-120.1582,38.90858
39.324036,-119.795,38.9581
27.55841,-120.223,39.19109
40.980286,-119.8581,39.24089
38.18341,-120.2885,39.4738
8.706848,-119.9218,39.5239
40.696167,-120.4549,38.57567
45.67273,-120.094,38.62627
44.67273,-120.5208,38.8577
40.868042,-120.1582,38.90858
27.73523,-119.795,38.9581
39.086792,-120.223,39.19109
26.26648,-119.8581,39.24089
27.977417,-120.2885,39.4738
-4.8116455,-119.9218,39.5239
43.973022,-120.4549,38.57567
64.074585,-120.094,38.62627
12.77771,-120.5208,38.8577
50.285522,-120.1582,38.90858
41.012085,-119.795,38.9581
44.480835,-120.223,39.19109
39.43396,-119.8581,39.24089
26.769897,-120.2885,39.4738
0.12927246,-119.9218,39.5239
40.252075,-120.4549,38.57567
49.322388,-120.094,38.62627
23.408325,-120.5208,38.8577
36.533325,-120.1582,38.90858
28.181763,-119.795,38.9581
31.916138,-120.223,39.19109
24.002075,-119.8581,39.24089
26.2052,-120.2885,39.4738
-5.2244873,-119.9218,39.5239
91.344604,-120.4549,38.57567
98.61023,-120.094,38.62627
36.399292,-120.5208,38.8577
91.969604,-120.1582,38.90858
59.95398,-119.795,38.9581
75.938354,-120.223,39.19109
95.82898,-119.8581,39.24089
82.063354,-120.2885,39.4738
22.26648,-119.9218,39.5239
26.139221,-120.4549,38.57567
77.52203,-120.094,38.62627
-12.259216,-120.5208,38.8577
46.06891,-120.1582,38.90858
40.31891,-119.795,38.9581
34.47516,-120.223,39.19109
43.022034,-119.8581,39.24089
36.95172,-120.2885,39.4738
12.561096,-119.9218,39.5239
57.581512,-120.4549,38.57567
105.19089,-120.094,38.62627
18.894012,-120.5208,38.8577
64.04245,-120.1582,38.90858
50.347137,-119.795,38.9581
44.85495,-120.223,39.19109
58.79245,-119.8581,39.24089
45.72995,-120.2885,39.4738
21.331512,-119.9218,39.5239
21.831268,-120.4549,38.57567
23.27658,-120.094,38.62627
-6.1062317,-120.5208,38.8577
15.979706,-120.1582,38.90858
25.784393,-119.795,38.9581
9.440643,-120.223,39.19109
27.003143,-119.8581,39.24089
7.2062683,-120.2885,39.4738
-0.4265442,-119.9218,39.5239
