air,lon,lat
276.14365,-120.4549,38.57567
269.69833,-120.094,38.62627
277.25302,-120.5208,38.8577
271.04208,-120.1582,38.90858
268.28427,-119.795,38.9581
273.8702,-120.223,39.19109
269.12802,-119.8581,39.24089
271.19052,-120.2885,39.4738
272.07333,-119.9218,39.5239
277.72748,-120.4549,38.57567
271.91498,-120.094,38.62627
279.25873,-120.5208,38.8577
272.88373,-120.1582,38.90858
271.8681,-119.795,38.9581
274.4228,-120.223,39.19109
272.59467,-119.8581,39.24089
272.16498,-120.2885,39.4738
274.1181,-119.9218,39.5239
278.737,-120.4549,38.57567
271.6823,-120.094,38.62627
280.70575,-120.5208,38.8577
273.15106,-120.1582,38.90858
269.37762,-119.795,38.9581
275.32294,-120.223,39.19109
270.84637,-119.8581,39.24089
273.03387,-120.2885,39.4738
272.32294,-119.9218,39.5239
279.61774,-120.4549,38.57567
273.55524,-120.094,38.62627
281.1646,-120.5208,38.8577
274.75055,-120.1582,38.90858
272.48492,-119.795,38.9581
275.99274,-120.223,39.19109
273.93805,-119.8581,39.24089
274.68024,-120.2885,39.4738
275.37555,-119.9218,39.5239
279.56256,-120.4549,38.57567
272.586,-120.094,38.62627
280.87506,-120.5208,38.8577
273.47662,-120.1582,38.90858
272.3438,-119.795,38.9581
275.22662,-120.223,39.19109
274.336,-119.8581,39.24089
273.5313,-120.2885,39.4738
276.5157,-119.9218,39.5239
279.48474,-120.4549,38.57567
273.30505,-120.094,38.62627
280.60974,-120.5208,38.8577
273.65662,-120.1582,38.90858
272.87537,-119.795,38.9581
275.5238,-120.223,39.19109
274.93005,-119.8581,39.24089
274.22693,-120.2885,39.4738
277.18787,-119.9218,39.5239
278.97314,-120.4549,38.57567
271.95752,-120.094,38.62627
279.77002,-120.5208,38.8577
273.24658,-120.1582,38.90858
273.52783,-119.795,38.9581
275.11377,-120.223,39.19109
274.96533,-119.8581,39.24089
273.37158,-120.2885,39.4738
277.55127,-119.9218,39.5239
276.89587,-120.4549,38.57567
270.9193,-120.094,38.62627
277.63025,-120.5208,38.8577
271.724,-120.1582,38.90858
271.56775,-119.795,38.9581
271.80212,-120.223,39.19109
273.8568,-119.8581,39.24089
271.62244,-120.2885,39.4738
275.62244,-119.9218,39.5239
277.52005,-120.4549,38.57567
274.0591,-120.094,38.62627
279.2466,-120.5208,38.8577
274.89505,-120.1582,38.90858
273.65286,-119.795,38.9581
274.8091,-120.223,39.19109
274.6685,-119.8581,39.24089
274.6685,-120.2885,39.4738
276.5435,-119.9218,39.5239
278.6673,-120.4549,38.57567
276.2376,-120.094,38.62627
280.83917,-120.5208,38.8577
275.972,-120.1582,38.90858
273.4095,-119.795,38.9581
276.44855,-120.223,39.19109
275.87823,-119.8581,39.24089
276.37042,-120.2885,39.4738
277.46417,-119.9218,39.5239
278.06302,-120.4549,38.57567
274.33646,-120.094,38.62627
279.5552,-120.5208,38.8577
274.81302,-120.1582,38.90858
274.43802,-119.795,38.9581
275.26614,-120.223,39.19109
275.40677,-119.8581,39.24089
274.90677,-120.2885,39.4738
277.39114,-119.9218,39.5239
278.1431,-120.4549,38.57567
270.98685,-120.094,38.62627
278.93216,-120.5208,38.8577
271.50247,-120.1582,38.90858
270.8306,-119.795,38.9581
274.61966,-120.223,39.19109
270.94778,-119.8581,39.24089
272.32278,-120.2885,39.4738
