lcdc,lon,lat
67.5,-120.223,39.19109
72.5,-119.8581,39.24089
62.625,-120.2885,39.4738
68.375,-119.9218,39.5239
5.625,-120.4549,38.57567
2.0,-120.094,38.62627
5.125,-120.5208,38.8577
2.875,-120.1582,38.90858
15.5,-119.795,38.9581
4.25,-120.223,39.19109
7.5,-119.8581,39.24089
0.375,-120.2885,39.4738
9.25,-119.9218,39.5239
2.5,-120.4549,38.57567
0.875,-120.094,38.62627
4.875,-120.5208,38.8577
1.375,-120.1582,38.90858
0.125,-119.795,38.9581
0.375,-120.223,39.19109
0.0,-119.8581,39.24089
0.5,-120.2885,39.4738
2.125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.25,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
5.875,-120.4549,38.57567
0.0,-120.094,38.62627
1.375,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
8.875,-120.4549,38.57567
0.25,-120.094,38.62627
12.25,-120.5208,38.8577
0.375,-120.1582,38.90858
0.375,-119.795,38.9581
2.75,-120.223,39.19109
3.0,-119.8581,39.24089
0.75,-120.2885,39.4738
0.375,-119.9218,39.5239
91.25,-120.4549,38.57567
34.375,-120.094,38.62627
95.125,-120.5208,38.8577
42.875,-120.1582,38.90858
49.75,-119.795,38.9581
57.125,-120.223,39.19109
62.25,-119.8581,39.24089
44.875,-120.2885,39.4738
52.5,-119.9218,39.5239
90.75,-120.4549,38.57567
27.375,-120.094,38.62627
97.5,-120.5208,38.8577
31.0,-120.1582,38.90858
54.375,-119.795,38.9581
52.5,-120.223,39.19109
69.875,-119.8581,39.24089
37.75,-120.2885,39.4738
56.25,-119.9218,39.5239
92.25,-120.4549,38.57567
20.875,-120.094,38.62627
97.0,-120.5208,38.8577
30.375,-120.1582,38.90858
35.75,-119.795,38.9581
47.625,-120.223,39.19109
57.125,-119.8581,39.24089
30.875,-120.2885,39.4738
35.125,-119.9218,39.5239
90.875,-120.4549,38.57567
34.625,-120.094,38.62627
97.625,-120.5208,38.8577
45.875,-120.1582,38.90858
56.25,-119.795,38.9581
56.25,-120.223,39.19109
69.375,-119.8581,39.24089
40.625,-120.2885,39.4738
47.25,-119.9218,39.5239
45.375,-120.4549,38.57567
12.5,-120.094,38.62627
58.875,-120.5208,38.8577
18.125,-120.1582,38.90858
24.375,-119.795,38.9581
19.125,-120.223,39.19109
32.5,-119.8581,39.24089
12.875,-120.2885,39.4738
36.75,-119.9218,39.5239
0.5,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
45.625,-120.4549,38.57567
10.375,-120.094,38.62627
50.5,-120.5208,38.8577
24.375,-120.1582,38.90858
23.75,-119.795,38.9581
30.375,-120.223,39.19109
31.625,-119.8581,39.24089
22.5,-120.2885,39.4738
27.5,-119.9218,39.5239
86.875,-120.4549,38.57567
25.5,-120.094,38.62627
90.5,-120.5208,38.8577
27.125,-120.1582,38.90858
38.25,-119.795,38.9581
45.625,-120.223,39.19109
53.125,-119.8581,39.24089
32.625,-120.2885,39.4738
40.25,-119.9218,39.5239
91.125,-120.4549,38.57567
33.75,-120.094,38.62627
92.875,-120.5208,38.8577
40.5,-120.1582,38.90858
56.0,-119.795,38.9581
57.125,-120.223,39.19109
75.25,-119.8581,39.24089
50.75,-120.2885,39.4738
58.375,-119.9218,39.5239
16.75,-120.4549,38.57567
0.625,-120.094,38.62627
31.5,-120.5208,38.8577
1.125,-120.1582,38.90858
0.0,-119.795,38.9581
4.0,-120.223,39.19109
0.125,-119.8581,39.24089
0.375,-120.2885,39.4738
1.625,-119.9218,39.5239
5.375,-120.4549,38.57567
1.5,-120.094,38.62627
8.75,-120.5208,38.8577
3.125,-120.1582,38.90858
0.375,-119.795,38.9581
5.25,-120.223,39.19109
0.25,-119.8581,39.24089
1.0,-120.2885,39.4738
1.125,-119.9218,39.5239
81.125,-120.4549,38.57567
17.625,-120.094,38.62627
84.875,-120.5208,38.8577
25.375,-120.1582,38.90858
30.875,-119.795,38.9581
41.5,-120.223,39.19109
47.625,-119.8581,39.24089
29.125,-120.2885,39.4738
40.125,-119.9218,39.5239
91.25,-120.4549,38.57567
30.875,-120.094,38.62627
96.5,-120.5208,38.8577
41.5,-120.1582,38.90858
40.625,-119.795,38.9581
56.5,-120.223,39.19109
55.875,-119.8581,39.24089
50.25,-120.2885,39.4738
50.875,-119.9218,39.5239
92.5,-120.4549,38.57567
26.375,-120.094,38.62627
95.125,-120.5208,38.8577
36.25,-120.1582,38.90858
47.125,-119.795,38.9581
49.125,-120.223,39.19109
67.625,-119.8581,39.24089
32.625,-120.2885,39.4738
37.625,-119.9218,39.5239
90.5,-120.4549,38.57567
33.25,-120.094,38.62627
98.75,-120.5208,38.8577
65.125,-120.1582,38.90858
64.875,-119.795,38.9581
66.0,-120.223,39.19109
72.125,-119.8581,39.24089
49.0,-120.2885,39.4738
47.625,-119.9218,39.5239
89.5,-120.4549,38.57567
33.125,-120.094,38.62627
97.625,-120.5208,38.8577
60.0,-120.1582,38.90858
83.125,-119.795,38.9581
64.125,-120.223,39.19109
90.25,-119.8581,39.24089
53.5,-120.2885,39.4738
69.125,-119.9218,39.5239
17.125,-120.4549,38.57567
7.25,-120.094,38.62627
19.375,-120.5208,38.8577
25.0,-120.1582,38.90858
46.125,-119.795,38.9581
22.375,-120.223,39.19109
35.625,-119.8581,39.24089
13.875,-120.2885,39.4738
34.375,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.25,-119.9218,39.5239
46.0,-120.4549,38.57567
13.125,-120.094,38.62627
55.5,-120.5208,38.8577
18.75,-120.1582,38.90858
35.75,-119.795,38.9581
29.0,-120.223,39.19109
48.875,-119.8581,39.24089
28.75,-120.2885,39.4738
35.5,-119.9218,39.5239
14.75,-120.4549,38.57567
5.75,-120.094,38.62627
23.5,-120.5208,38.8577
10.625,-120.1582,38.90858
36.5,-119.795,38.9581
11.5,-120.223,39.19109
31.0,-119.8581,39.24089
9.875,-120.2885,39.4738
41.625,-119.9218,39.5239
0.0,-120.4549,38.57567
0.375,-120.094,38.62627
0.0,-120.5208,38.8577
0.5,-120.1582,38.90858
5.375,-119.795,38.9581
0.0,-120.223,39.19109
1.125,-119.8581,39.24089
0.25,-120.2885,39.4738
16.0,-119.9218,39.5239
20.75,-120.4549,38.57567
5.0,-120.094,38.62627
26.5,-120.5208,38.8577
18.625,-120.1582,38.90858
11.875,-119.795,38.9581
22.0,-120.223,39.19109
15.75,-119.8581,39.24089
23.25,-120.2885,39.4738
16.125,-119.9218,39.5239
64.125,-120.4549,38.57567
17.0,-120.094,38.62627
73.375,-120.5208,38.8577
62.25,-120.1582,38.90858
41.5,-119.795,38.9581
62.125,-120.223,39.19109
43.125,-119.8581,39.24089
54.75,-120.2885,39.4738
39.625,-119.9218,39.5239
42.875,-120.4549,38.57567
10.375,-120.094,38.62627
57.625,-120.5208,38.8577
37.75,-120.1582,38.90858
18.375,-119.795,38.9581
48.75,-120.223,39.19109
31.125,-119.8581,39.24089
43.125,-120.2885,39.4738
23.5,-119.9218,39.5239
93.625,-120.4549,38.57567
20.375,-120.094,38.62627
99.5,-120.5208,38.8577
58.625,-120.1582,38.90858
19.75,-119.795,38.9581
60.125,-120.223,39.19109
49.125,-119.8581,39.24089
39.25,-120.2885,39.4738
23.875,-119.9218,39.5239
92.625,-120.4549,38.57567
24.375,-120.094,38.62627
97.125,-120.5208,38.8577
58.75,-120.1582,38.90858
35.375,-119.795,38.9581
60.625,-120.223,39.19109
45.625,-119.8581,39.24089
45.25,-120.2885,39.4738
34.875,-119.9218,39.5239
90.875,-120.4549,38.57567
20.625,-120.094,38.62627
98.25,-120.5208,38.8577
69.75,-120.1582,38.90858
30.0,-119.795,38.9581
73.25,-120.223,39.19109
52.0,-119.8581,39.24089
64.25,-120.2885,39.4738
56.75,-119.9218,39.5239
13.625,-120.4549,38.57567
2.625,-120.094,38.62627
11.75,-120.5208,38.8577
8.625,-120.1582,38.90858
5.125,-119.795,38.9581
8.5,-120.223,39.19109
4.625,-119.8581,39.24089
5.375,-120.2885,39.4738
4.875,-119.9218,39.5239
84.625,-120.4549,38.57567
26.0,-120.094,38.62627
89.625,-120.5208,38.8577
66.625,-120.1582,38.90858
68.875,-119.795,38.9581
71.0,-120.223,39.19109
78.0,-119.8581,39.24089
60.75,-120.2885,39.4738
73.625,-119.9218,39.5239
87.25,-120.4549,38.57567
22.625,-120.094,38.62627
92.75,-120.5208,38.8577
88.25,-120.1582,38.90858
93.625,-119.795,38.9581
92.125,-120.223,39.19109
97.75,-119.8581,39.24089
86.125,-120.2885,39.4738
93.5,-119.9218,39.5239
43.875,-120.4549,38.57567
12.375,-120.094,38.62627
53.125,-120.5208,38.8577
32.75,-120.1582,38.90858
28.375,-119.795,38.9581
37.625,-120.223,39.19109
34.125,-119.8581,39.24089
36.0,-120.2885,39.4738
41.75,-119.9218,39.5239
32.5,-120.4549,38.57567
7.125,-120.094,38.62627
34.0,-120.5208,38.8577
13.875,-120.1582,38.90858
18.625,-119.795,38.9581
17.625,-120.223,39.19109
22.75,-119.8581,39.24089
12.5,-120.2885,39.4738
17.875,-119.9218,39.5239
83.25,-120.4549,38.57567
31.125,-120.094,38.62627
91.0,-120.5208,38.8577
33.0,-120.1582,38.90858
35.0,-119.795,38.9581
51.25,-120.223,39.19109
