acpcp,lon,lat
0.00095158815,-120.5208,38.8577
0.00095158815,-120.1582,38.90858
0.00095158815,-119.795,38.9581
0.00095158815,-120.223,39.19109
0.00095158815,-119.8581,39.24089
0.00095158815,-120.2885,39.4738
0.00095158815,-119.9218,39.5239
1.0177135,-120.4549,38.57567
0.8614636,-120.094,38.62627
0.9161511,-120.5208,38.8577
0.6895886,-120.1582,38.90858
0.7364636,-119.795,38.9581
2.3927135,-120.223,39.19109
0.5880261,-119.8581,39.24089
0.9161511,-120.2885,39.4738
0.4161511,-119.9218,39.5239
2.734375,-120.4549,38.57567
0.8515625,-120.094,38.62627
0.546875,-120.5208,38.8577
0.2109375,-120.1582,38.90858
1.078125,-119.795,38.9581
0.4453125,-120.223,39.19109
0.40625,-119.8581,39.24089
0.265625,-120.2885,39.4738
1.3984375,-119.9218,39.5239
