wvuflx,lon,lat
717109.4,-120.5208,38.8577
765234.4,-120.1582,38.90858
783984.4,-119.795,38.9581
766484.4,-120.223,39.19109
786609.4,-119.8581,39.24089
756734.4,-120.2885,39.4738
769484.4,-119.9218,39.5239
702724.1,-120.4549,38.57567
688724.1,-120.094,38.62627
757474.1,-120.5208,38.8577
766724.1,-120.1582,38.90858
774849.1,-119.795,38.9581
774099.1,-120.223,39.19109
813099.1,-119.8581,39.24089
772849.1,-120.2885,39.4738
806349.1,-119.9218,39.5239
277815.44,-120.4549,38.57567
260940.44,-120.094,38.62627
277815.44,-120.5208,38.8577
276815.44,-120.1582,38.90858
277565.44,-119.795,38.9581
260815.44,-120.223,39.19109
271940.44,-119.8581,39.24089
234565.44,-120.2885,39.4738
257690.44,-119.9218,39.5239
250024.38,-120.4549,38.57567
239524.38,-120.094,38.62627
262774.38,-120.5208,38.8577
262149.38,-120.1582,38.90858
267399.38,-119.795,38.9581
264774.38,-120.223,39.19109
263649.38,-119.8581,39.24089
255024.38,-120.2885,39.4738
269149.38,-119.9218,39.5239
143454.56,-120.4549,38.57567
146079.56,-120.094,38.62627
133079.56,-120.5208,38.8577
132579.56,-120.1582,38.90858
130579.56,-119.795,38.9581
118954.56,-120.223,39.19109
112704.56,-119.8581,39.24089
106954.56,-120.2885,39.4738
98454.56,-119.9218,39.5239
247006.31,-120.4549,38.57567
285381.3,-120.094,38.62627
251131.31,-120.5208,38.8577
279256.3,-120.1582,38.90858
285756.3,-119.795,38.9581
261756.31,-120.223,39.19109
271631.3,-119.8581,39.24089
241131.31,-120.2885,39.4738
243631.31,-119.9218,39.5239
428468.12,-120.4549,38.57567
423593.12,-120.094,38.62627
472093.12,-120.5208,38.8577
472843.12,-120.1582,38.90858
477968.12,-119.795,38.9581
491218.12,-120.223,39.19109
501593.12,-119.8581,39.24089
510843.12,-120.2885,39.4738
507468.12,-119.9218,39.5239
701788.56,-120.4549,38.57567
639413.56,-120.094,38.62627
726288.56,-120.5208,38.8577
706538.56,-120.1582,38.90858
719288.56,-119.795,38.9581
714788.56,-120.223,39.19109
756288.56,-119.8581,39.24089
705538.56,-120.2885,39.4738
757663.56,-119.9218,39.5239
305141.62,-120.4549,38.57567
314516.62,-120.094,38.62627
348516.62,-120.5208,38.8577
377766.62,-120.1582,38.90858
392516.62,-119.795,38.9581
426266.62,-120.223,39.19109
436141.62,-119.8581,39.24089
470016.62,-120.2885,39.4738
465266.62,-119.9218,39.5239
553151.9,-120.4549,38.57567
577651.9,-120.094,38.62627
591901.9,-120.5208,38.8577
606151.9,-120.1582,38.90858
607026.9,-119.795,38.9581
626901.9,-120.223,39.19109
623901.9,-119.8581,39.24089
652026.9,-120.2885,39.4738
634151.9,-119.9218,39.5239
2224651.8,-120.4549,38.57567
2172526.8,-120.094,38.62627
2341776.8,-120.5208,38.8577
2360026.8,-120.1582,38.90858
2402401.8,-119.795,38.9581
2391401.8,-120.223,39.19109
2484526.8,-119.8581,39.24089
2394526.8,-120.2885,39.4738
2473276.8,-119.9218,39.5239
1509122.8,-120.4549,38.57567
1507372.8,-120.094,38.62627
1657747.8,-120.5208,38.8577
1690872.8,-120.1582,38.90858
1704247.8,-119.795,38.9581
1771497.5,-120.223,39.19109
1827497.5,-119.8581,39.24089
1847622.5,-120.2885,39.4738
1889622.5,-119.9218,39.5239
814836.44,-120.4549,38.57567
771836.44,-120.094,38.62627
