mcdc,lon,lat
58.0,-120.4549,38.57567
71.5,-120.094,38.62627
67.25,-120.5208,38.8577
74.125,-120.1582,38.90858
74.0,-119.795,38.9581
74.375,-120.223,39.19109
74.875,-119.8581,39.24089
65.0,-120.2885,39.4738
75.125,-119.9218,39.5239
47.625,-120.4549,38.57567
57.5,-120.094,38.62627
53.125,-120.5208,38.8577
59.5,-120.1582,38.90858
69.375,-119.795,38.9581
58.0,-120.223,39.19109
58.375,-119.8581,39.24089
51.0,-120.2885,39.4738
50.25,-119.9218,39.5239
4.75,-120.4549,38.57567
4.625,-120.094,38.62627
7.0,-120.5208,38.8577
7.5,-120.1582,38.90858
8.0,-119.795,38.9581
8.5,-120.223,39.19109
9.875,-119.8581,39.24089
8.625,-120.2885,39.4738
8.75,-119.9218,39.5239
26.625,-120.4549,38.57567
23.0,-120.094,38.62627
28.125,-120.5208,38.8577
25.25,-120.1582,38.90858
22.375,-119.795,38.9581
27.5,-120.223,39.19109
26.375,-119.8581,39.24089
30.25,-120.2885,39.4738
26.75,-119.9218,39.5239
68.0,-120.4549,38.57567
48.25,-120.094,38.62627
66.5,-120.5208,38.8577
46.75,-120.1582,38.90858
32.25,-119.795,38.9581
45.0,-120.223,39.19109
32.625,-119.8581,39.24089
40.5,-120.2885,39.4738
38.5,-119.9218,39.5239
91.125,-120.4549,38.57567
59.25,-120.094,38.62627
90.5,-120.5208,38.8577
50.625,-120.1582,38.90858
27.25,-119.795,38.9581
46.75,-120.223,39.19109
26.5,-119.8581,39.24089
37.0,-120.2885,39.4738
37.0,-119.9218,39.5239
94.625,-120.4549,38.57567
60.625,-120.094,38.62627
96.125,-120.5208,38.8577
70.25,-120.1582,38.90858
34.875,-119.795,38.9581
70.125,-120.223,39.19109
38.625,-119.8581,39.24089
64.25,-120.2885,39.4738
39.5,-119.9218,39.5239
78.875,-120.4549,38.57567
52.625,-120.094,38.62627
74.875,-120.5208,38.8577
52.25,-120.1582,38.90858
28.5,-119.795,38.9581
46.0,-120.223,39.19109
29.0,-119.8581,39.24089
40.5,-120.2885,39.4738
28.0,-119.9218,39.5239
61.75,-120.4549,38.57567
45.625,-120.094,38.62627
58.875,-120.5208,38.8577
44.625,-120.1582,38.90858
24.625,-119.795,38.9581
40.5,-120.223,39.19109
32.625,-119.8581,39.24089
38.0,-120.2885,39.4738
33.125,-119.9218,39.5239
83.875,-120.4549,38.57567
71.125,-120.094,38.62627
82.375,-120.5208,38.8577
68.625,-120.1582,38.90858
61.625,-119.795,38.9581
67.25,-120.223,39.19109
65.125,-119.8581,39.24089
67.375,-120.2885,39.4738
71.0,-119.9218,39.5239
88.375,-120.4549,38.57567
84.25,-120.094,38.62627
85.125,-120.5208,38.8577
79.125,-120.1582,38.90858
77.125,-119.795,38.9581
77.5,-120.223,39.19109
77.5,-119.8581,39.24089
78.5,-120.2885,39.4738
85.25,-119.9218,39.5239
69.375,-120.4549,38.57567
76.875,-120.094,38.62627
80.625,-120.5208,38.8577
90.375,-120.1582,38.90858
95.375,-119.795,38.9581
89.625,-120.223,39.19109
97.625,-119.8581,39.24089
87.625,-120.2885,39.4738
90.625,-119.9218,39.5239
9.0,-120.4549,38.57567
24.875,-120.094,38.62627
8.75,-120.5208,38.8577
20.0,-120.1582,38.90858
22.0,-119.795,38.9581
15.75,-120.223,39.19109
22.25,-119.8581,39.24089
17.125,-120.2885,39.4738
28.0,-119.9218,39.5239
69.625,-120.4549,38.57567
59.25,-120.094,38.62627
67.5,-120.5208,38.8577
64.5,-120.1582,38.90858
58.75,-119.795,38.9581
62.625,-120.223,39.19109
58.625,-119.8581,39.24089
60.0,-120.2885,39.4738
56.25,-119.9218,39.5239
93.125,-120.4549,38.57567
76.625,-120.094,38.62627
89.875,-120.5208,38.8577
78.25,-120.1582,38.90858
52.5,-119.795,38.9581
71.0,-120.223,39.19109
