pres,lon,lat
80019.81,-120.1582,38.90858
79894.81,-119.795,38.9581
80207.31,-120.223,39.19109
80307.31,-119.8581,39.24089
79157.31,-120.2885,39.4738
82244.81,-119.9218,39.5239
87854.0,-120.4549,38.57567
78204.0,-120.094,38.62627
87654.0,-120.5208,38.8577
80241.5,-120.1582,38.90858
80116.5,-119.795,38.9581
80441.5,-120.223,39.19109
80591.5,-119.8581,39.24089
79379.0,-120.2885,39.4738
82566.5,-119.9218,39.5239
88020.95,-120.4549,38.57567
78470.95,-120.094,38.62627
87820.95,-120.5208,38.8577
80533.45,-120.1582,38.90858
80508.45,-119.795,38.9581
80770.95,-120.223,39.19109
80883.45,-119.8581,39.24089
79720.95,-120.2885,39.4738
82958.45,-119.9218,39.5239
87483.22,-120.4549,38.57567
78058.22,-120.094,38.62627
87245.72,-120.5208,38.8577
80033.22,-120.1582,38.90858
79970.72,-119.795,38.9581
80245.72,-120.223,39.19109
80358.22,-119.8581,39.24089
79158.22,-120.2885,39.4738
82358.22,-119.9218,39.5239
86804.47,-120.4549,38.57567
77179.47,-120.094,38.62627
86591.97,-120.5208,38.8577
79241.97,-120.1582,38.90858
79104.47,-119.795,38.9581
79416.97,-120.223,39.19109
79504.47,-119.8581,39.24089
78341.97,-120.2885,39.4738
81466.97,-119.9218,39.5239
86608.33,-120.4549,38.57567
76970.83,-120.094,38.62627
86383.33,-120.5208,38.8577
79020.83,-120.1582,38.90858
78920.83,-119.795,38.9581
79220.83,-120.223,39.19109
79358.33,-119.8581,39.24089
78170.83,-120.2885,39.4738
81345.83,-119.9218,39.5239
87220.37,-120.4549,38.57567
77670.37,-120.094,38.62627
87032.87,-120.5208,38.8577
79745.37,-120.1582,38.90858
79670.37,-119.795,38.9581
79945.37,-120.223,39.19109
80070.37,-119.8581,39.24089
78882.87,-120.2885,39.4738
82107.87,-119.9218,39.5239
87316.125,-120.4549,38.57567
77653.625,-120.094,38.62627
87053.625,-120.5208,38.8577
79603.625,-120.1582,38.90858
79466.125,-119.795,38.9581
79791.125,-120.223,39.19109
79841.125,-119.8581,39.24089
78653.625,-120.2885,39.4738
81816.125,-119.9218,39.5239
86978.5,-120.4549,38.57567
77328.5,-120.094,38.62627
86778.5,-120.5208,38.8577
79353.5,-120.1582,38.90858
79241.0,-119.795,38.9581
79528.5,-120.223,39.19109
79653.5,-119.8581,39.24089
78478.5,-120.2885,39.4738
81641.0,-119.9218,39.5239
86909.29,-120.4549,38.57567
77234.29,-120.094,38.62627
86696.79,-120.5208,38.8577
79246.79,-120.1582,38.90858
79059.29,-119.795,38.9581
79371.79,-120.223,39.19109
79521.79,-119.8581,39.24089
78321.79,-120.2885,39.4738
81446.79,-119.9218,39.5239
86999.45,-120.4549,38.57567
77249.45,-120.094,38.62627
86736.95,-120.5208,38.8577
79236.95,-120.1582,38.90858
79024.45,-119.795,38.9581
79349.45,-120.223,39.19109
79461.95,-119.8581,39.24089
78249.45,-120.2885,39.4738
81361.95,-119.9218,39.5239
86833.516,-120.4549,38.57567
77196.016,-120.094,38.62627
86646.016,-120.5208,38.8577
79233.516,-120.1582,38.90858
79121.016,-119.795,38.9581
79421.016,-120.223,39.19109
79621.016,-119.8581,39.24089
78358.516,-120.2885,39.4738
81583.516,-119.9218,39.5239
86051.875,-120.4549,38.57567
76526.875,-120.094,38.62627
85814.375,-120.5208,38.8577
78489.375,-120.1582,38.90858
78376.875,-119.795,38.9581
78626.875,-120.223,39.19109
78739.375,-119.8581,39.24089
77526.875,-120.2885,39.4738
80676.875,-119.9218,39.5239
86781.97,-120.4549,38.57567
77006.97,-120.094,38.62627
86544.47,-120.5208,38.8577
79069.47,-120.1582,38.90858
78956.97,-119.795,38.9581
79256.97,-120.223,39.19109
79369.47,-119.8581,39.24089
78194.47,-120.2885,39.4738
81369.47,-119.9218,39.5239
87457.89,-120.4549,38.57567
77845.39,-120.094,38.62627
87270.39,-120.5208,38.8577
79907.89,-120.1582,38.90858
79820.39,-119.795,38.9581
80107.89,-120.223,39.19109
80257.89,-119.8581,39.24089
79057.89,-120.2885,39.4738
82245.39,-119.9218,39.5239
87411.18,-120.4549,38.57567
78048.68,-120.094,38.62627
87223.68,-120.5208,38.8577
80061.18,-120.1582,38.90858
80023.68,-119.795,38.9581
80236.18,-120.223,39.19109
80423.68,-119.8581,39.24089
79211.18,-120.2885,39.4738
82423.68,-119.9218,39.5239
86847.336,-120.4549,38.57567
77484.836,-120.094,38.62627
86634.836,-120.5208,38.8577
79472.336,-120.1582,38.90858
79397.336,-119.795,38.9581
79684.836,-120.223,39.19109
79847.336,-119.8581,39.24089
78672.336,-120.2885,39.4738
81809.836,-119.9218,39.5239
86834.375,-120.4549,38.57567
77234.375,-120.094,38.62627
86609.375,-120.5208,38.8577
79271.875,-120.1582,38.90858
79121.875,-119.795,38.9581
79434.375,-120.223,39.19109
79559.375,-119.8581,39.24089
78384.375,-120.2885,39.4738
81509.375,-119.9218,39.5239
87233.734,-120.4549,38.57567
77621.234,-120.094,38.62627
87021.234,-120.5208,38.8577
79633.734,-120.1582,38.90858
79521.234,-119.795,38.9581
79821.234,-120.223,39.19109
79933.734,-119.8581,39.24089
78746.234,-120.2885,39.4738
81896.234,-119.9218,39.5239
87276.02,-120.4549,38.57567
77863.52,-120.094,38.62627
87063.52,-120.5208,38.8577
79888.52,-120.1582,38.90858
79788.52,-119.795,38.9581
80076.02,-120.223,39.19109
80226.02,-119.8581,39.24089
79026.02,-120.2885,39.4738
82201.02,-119.9218,39.5239
87150.34,-120.4549,38.57567
77712.84,-120.094,38.62627
86950.34,-120.5208,38.8577
79712.84,-120.1582,38.90858
79600.34,-119.795,38.9581
79900.34,-120.223,39.19109
80012.84,-119.8581,39.24089
78825.34,-120.2885,39.4738
81975.34,-119.9218,39.5239
87166.34,-120.4549,38.57567
77741.34,-120.094,38.62627
86941.34,-120.5208,38.8577
79728.84,-120.1582,38.90858
79641.34,-119.795,38.9581
79928.84,-120.223,39.19109
