weasd,lon,lat
1.4648438,-120.223,39.19109
26.121094,-119.8581,39.24089
6.8935547,-120.2885,39.4738
0.03125,-119.9218,39.5239
0.01171875,-120.4549,38.57567
47.521484,-120.094,38.62627
0.0,-120.5208,38.8577
47.38672,-120.1582,38.90858
36.725586,-119.795,38.9581
5.859375,-120.223,39.19109
3.524414,-119.8581,39.24089
9.143555,-120.2885,39.4738
0.88671875,-119.9218,39.5239
0.029296875,-120.4549,38.57567
57.22754,-120.094,38.62627
0.018554688,-120.5208,38.8577
57.427734,-120.1582,38.90858
52.9375,-119.795,38.9581
5.116211,-120.223,39.19109
23.140625,-119.8581,39.24089
9.31543,-120.2885,39.4738
1.9355469,-119.9218,39.5239
0.0,-120.4549,38.57567
58.24707,-120.094,38.62627
0.0,-120.5208,38.8577
55.68457,-120.1582,38.90858
58.442383,-119.795,38.9581
1.9199219,-120.223,39.19109
18.874023,-119.8581,39.24089
7.9121094,-120.2885,39.4738
1.8925781,-119.9218,39.5239
0.0,-120.4549,38.57567
59.39258,-120.094,38.62627
0.0,-120.5208,38.8577
47.7334,-120.1582,38.90858
60.268555,-119.795,38.9581
12.963867,-120.223,39.19109
14.799805,-119.8581,39.24089
6.9990234,-120.2885,39.4738
1.6826172,-119.9218,39.5239
0.0,-120.4549,38.57567
59.926758,-120.094,38.62627
0.0,-120.5208,38.8577
46.77539,-120.1582,38.90858
61.604492,-119.795,38.9581
13.334961,-120.223,39.19109
10.796875,-119.8581,39.24089
7.163086,-120.2885,39.4738
1.7138672,-119.9218,39.5239
0.005859375,-120.4549,38.57567
53.41211,-120.094,38.62627
0.0126953125,-120.5208,38.8577
41.692383,-120.1582,38.90858
53.374023,-119.795,38.9581
13.160156,-120.223,39.19109
4.53125,-119.8581,39.24089
