gflux,lon,lat
1.0859852,-120.223,39.19109
-0.5937004,-119.8581,39.24089
2.7969227,-120.2885,39.4738
-5.0780754,-119.9218,39.5239
-1.918642,-120.4549,38.57567
0.79229546,-120.094,38.62627
1.3235455,-120.5208,38.8577
0.89385796,-120.1582,38.90858
1.300108,-119.795,38.9581
0.54229546,-120.223,39.19109
2.3079205,-119.8581,39.24089
0.76104546,-120.2885,39.4738
-6.8170795,-119.9218,39.5239
4.7823925,-120.4549,38.57567
1.5636425,-120.094,38.62627
6.46208,-120.5208,38.8577
2.1417675,-120.1582,38.90858
2.2355175,-119.795,38.9581
3.99333,-120.223,39.19109
10.4698925,-119.8581,39.24089
2.0323925,-120.2885,39.4738
2.8917675,-119.9218,39.5239
1.0899448,-120.4549,38.57567
