snom,lon,lat
0.42382812,-120.094,38.62627
0.018554688,-120.5208,38.8577
0.4951172,-120.1582,38.90858
0.50390625,-119.795,38.9581
0.8730469,-120.223,39.19109
0.23242188,-119.8581,39.24089
0.4375,-120.2885,39.4738
0.0,-119.9218,39.5239
3.6503906,-120.4549,38.57567
0.0,-120.094,38.62627
3.21875,-120.5208,38.8577
0.052734375,-120.1582,38.90858
0.43945312,-119.795,38.9581
0.79785156,-120.223,39.19109
0.21582031,-119.8581,39.24089
0.11425781,-120.2885,39.4738
0.0,-119.9218,39.5239
2.1240234,-120.4549,38.57567
0.2841797,-120.094,38.62627
1.6259766,-120.5208,38.8577
0.20410156,-120.1582,38.90858
0.24316406,-119.795,38.9581
0.28125,-120.223,39.19109
0.20703125,-119.8581,39.24089
0.20410156,-120.2885,39.4738
0.123046875,-119.9218,39.5239
1.8037109,-120.4549,38.57567
1.0097656,-120.094,38.62627
0.546875,-120.5208,38.8577
1.1748047,-120.1582,38.90858
1.1787109,-119.795,38.9581
1.5820312,-120.223,39.19109
0.82421875,-119.8581,39.24089
1.171875,-120.2885,39.4738
0.09667969,-119.9218,39.5239
2.3408203,-120.4549,38.57567
1.4130859,-120.094,38.62627
0.22558594,-120.5208,38.8577
1.4951172,-120.1582,38.90858
1.3505859,-119.795,38.9581
1.9472656,-120.223,39.19109
0.6503906,-119.8581,39.24089
1.5488281,-120.2885,39.4738
0.19433594,-119.9218,39.5239
1.7021484,-120.4549,38.57567
0.4140625,-120.094,38.62627
0.10644531,-120.5208,38.8577
1.0488281,-120.1582,38.90858
1.4023438,-119.795,38.9581
1.5380859,-120.223,39.19109
0.5058594,-119.8581,39.24089
1.0332031,-120.2885,39.4738
0.14453125,-119.9218,39.5239
2.040039,-120.4549,38.57567
0.3154297,-120.094,38.62627
0.51660156,-120.5208,38.8577
0.6923828,-120.1582,38.90858
1.0136719,-119.795,38.9581
0.9970703,-120.223,39.19109
0.6894531,-119.8581,39.24089
0.66796875,-120.2885,39.4738
0.07519531,-119.9218,39.5239
3.6279297,-120.4549,38.57567
1.4824219,-120.094,38.62627
0.7216797,-120.5208,38.8577
1.5849609,-120.1582,38.90858
1.5263672,-119.795,38.9581
2.3652344,-120.223,39.19109
0.8066406,-119.8581,39.24089
1.5087891,-120.2885,39.4738
0.17382812,-119.9218,39.5239
2.2734375,-120.4549,38.57567
1.7646484,-120.094,38.62627
0.15722656,-120.5208,38.8577
1.9111328,-120.1582,38.90858
1.6054688,-119.795,38.9581
2.1914062,-120.223,39.19109
0.74609375,-119.8581,39.24089
1.90625,-120.2885,39.4738
0.072265625,-119.9218,39.5239
2.1591797,-120.4549,38.57567
1.1943359,-120.094,38.62627
0.4765625,-120.5208,38.8577
2.0048828,-120.1582,38.90858
1.5244141,-119.795,38.9581
2.8378906,-120.223,39.19109
1.0566406,-119.8581,39.24089
2.0253906,-120.2885,39.4738
0.06640625,-119.9218,39.5239
1.2021484,-120.4549,38.57567
1.8974609,-120.094,38.62627
0.0,-120.5208,38.8577
2.0947266,-120.1582,38.90858
1.7275391,-119.795,38.9581
2.34375,-120.223,39.19109
1.4785156,-119.8581,39.24089
2.086914,-120.2885,39.4738
0.08886719,-119.9218,39.5239
1.6923828,-120.4549,38.57567
1.8525391,-120.094,38.62627
0.5205078,-120.5208,38.8577
2.3769531,-120.1582,38.90858
2.194336,-119.795,38.9581
4.084961,-120.223,39.19109
0.98339844,-119.8581,39.24089
1.8837891,-120.2885,39.4738
0.4033203,-119.9218,39.5239
0.359375,-120.4549,38.57567
0.93847656,-120.094,38.62627
0.022460938,-120.5208,38.8577
1.171875,-120.1582,38.90858
1.2285156,-119.795,38.9581
1.5732422,-120.223,39.19109
1.1992188,-119.8581,39.24089
1.0546875,-120.2885,39.4738
0.0,-119.9218,39.5239
0.23046875,-120.4549,38.57567
0.67285156,-120.094,38.62627
0.00390625,-120.5208,38.8577
1.0488281,-120.1582,38.90858
1.3183594,-119.795,38.9581
1.7265625,-120.223,39.19109
1.1542969,-119.8581,39.24089
0.9111328,-120.2885,39.4738
0.0,-119.9218,39.5239
0.21679688,-120.4549,38.57567
0.5029297,-120.094,38.62627
0.0087890625,-120.5208,38.8577
0.83691406,-120.1582,38.90858
0.96777344,-119.795,38.9581
1.4501953,-120.223,39.19109
