vstm,lon,lat
-2.593771,-120.2885,39.4738
-3.7812705,-119.9218,39.5239
13.943539,-120.4549,38.57567
12.968539,-120.094,38.62627
14.31854,-120.5208,38.8577
12.98104,-120.1582,38.90858
11.606039,-119.795,38.9581
13.431039,-120.223,39.19109
12.481039,-119.8581,39.24089
14.156041,-120.2885,39.4738
12.506039,-119.9218,39.5239
25.799885,-120.4549,38.57567
25.124884,-120.094,38.62627
25.174883,-120.5208,38.8577
25.149885,-120.1582,38.90858
23.262384,-119.795,38.9581
24.449884,-120.223,39.19109
23.374886,-119.8581,39.24089
24.287384,-120.2885,39.4738
23.387384,-119.9218,39.5239
17.879787,-120.4549,38.57567
17.542288,-120.094,38.62627
15.004788,-120.5208,38.8577
17.542288,-120.1582,38.90858
15.01729,-119.795,38.9581
14.929789,-120.223,39.19109
15.017288,-119.8581,39.24089
14.504788,-120.2885,39.4738
15.017288,-119.9218,39.5239
0.6236093,-120.4549,38.57567
1.5361094,-120.094,38.62627
2.8361092,-120.5208,38.8577
1.5236096,-120.1582,38.90858
1.4986093,-119.795,38.9581
2.3111088,-120.223,39.19109
1.9736092,-119.8581,39.24089
1.1986089,-120.2885,39.4738
1.9986091,-119.9218,39.5239
-0.91804194,-120.4549,38.57567
1.3444576,-120.094,38.62627
-2.018042,-120.5208,38.8577
1.3569577,-120.1582,38.90858
-0.9805422,-119.795,38.9581
-0.89304185,-120.223,39.19109
-0.46804214,-119.8581,39.24089
-0.8805423,-120.2885,39.4738
-0.4555421,-119.9218,39.5239
-0.41889024,-120.4549,38.57567
-1.18139,-120.094,38.62627
-2.3813896,-120.5208,38.8577
-1.18139,-120.1582,38.90858
-1.3813901,-119.795,38.9581
-2.4938898,-120.223,39.19109
-2.3188896,-119.8581,39.24089
-3.2688901,-120.2885,39.4738
-2.3188896,-119.9218,39.5239
-22.305634,-120.4549,38.57567
-21.355633,-120.094,38.62627
-22.418135,-120.5208,38.8577
-21.355633,-120.1582,38.90858
-19.768135,-119.795,38.9581
-21.180634,-120.223,39.19109
-19.968132,-119.8581,39.24089
-21.343136,-120.2885,39.4738
-19.968132,-119.9218,39.5239
-26.350067,-120.4549,38.57567
-25.475067,-120.094,38.62627
-25.150068,-120.5208,38.8577
-25.475067,-120.1582,38.90858
-23.612566,-119.795,38.9581
-24.375067,-120.223,39.19109
-24.275066,-119.8581,39.24089
-24.512568,-120.2885,39.4738
-24.275066,-119.9218,39.5239
-12.591866,-120.4549,38.57567
-12.429366,-120.094,38.62627
-11.491867,-120.5208,38.8577
-12.429366,-120.1582,38.90858
-12.229366,-119.795,38.9581
-11.454367,-120.223,39.19109
-11.604367,-119.8581,39.24089
-10.866866,-120.2885,39.4738
-11.604367,-119.9218,39.5239
-1.6676872,-120.4549,38.57567
-4.180187,-120.094,38.62627
-4.117687,-120.5208,38.8577
-4.180187,-120.1582,38.90858
-4.430187,-119.795,38.9581
-4.6926875,-120.223,39.19109
-4.355187,-119.8581,39.24089
-4.305187,-120.2885,39.4738
-4.355187,-119.9218,39.5239
-14.384748,-120.4549,38.57567
-13.934748,-120.094,38.62627
-15.147247,-120.5208,38.8577
-13.934748,-120.1582,38.90858
-12.184748,-119.795,38.9581
-14.109748,-120.223,39.19109
-12.997248,-119.8581,39.24089
-14.647247,-120.2885,39.4738
-13.009748,-119.9218,39.5239
-21.306488,-120.4549,38.57567
-20.218987,-120.094,38.62627
-20.118986,-120.5208,38.8577
-20.206486,-120.1582,38.90858
-19.356487,-119.795,38.9581
-19.706486,-120.223,39.19109
-19.931488,-119.8581,39.24089
-20.168987,-120.2885,39.4738
-19.918987,-119.9218,39.5239
-33.419884,-120.4549,38.57567
-32.169888,-120.094,38.62627
-31.932384,-120.5208,38.8577
-32.169888,-120.1582,38.90858
-30.494884,-119.795,38.9581
-31.169886,-120.223,39.19109
-31.269884,-119.8581,39.24089
-31.519886,-120.2885,39.4738
-31.269884,-119.9218,39.5239
-18.337358,-120.4549,38.57567
-18.337357,-120.094,38.62627
-17.824856,-120.5208,38.8577
-18.337357,-120.1582,38.90858
-17.812357,-119.795,38.9581
-17.712358,-120.223,39.19109
-18.037357,-119.8581,39.24089
-17.662355,-120.2885,39.4738
-18.024857,-119.9218,39.5239
3.6104743,-120.4549,38.57567
3.1229744,-120.094,38.62627
3.310474,-120.5208,38.8577
3.1604753,-120.1582,38.90858
1.8729749,-119.795,38.9581
2.772975,-120.223,39.19109
