vwnd,lon,lat
4.595396,-119.8581,39.24089
1.2223492,-120.2885,39.4738
4.6012554,-119.9218,39.5239
0.63793945,-120.4549,38.57567
2.1467285,-120.094,38.62627
0.6203613,-120.5208,38.8577
2.1486816,-120.1582,38.90858
2.5324707,-119.795,38.9581
2.5090332,-120.223,39.19109
2.8967285,-119.8581,39.24089
1.3215332,-120.2885,39.4738
2.897705,-119.9218,39.5239
0.86294746,-120.4549,38.57567
1.3580647,-120.094,38.62627
0.7838459,-120.5208,38.8577
1.3580647,-120.1582,38.90858
1.5690022,-119.795,38.9581
2.9371662,-120.223,39.19109
1.738924,-119.8581,39.24089
1.6910725,-120.2885,39.4738
1.7379475,-119.9218,39.5239
4.2543964,-120.4549,38.57567
2.7338886,-120.094,38.62627
3.9604511,-120.5208,38.8577
2.7348652,-120.1582,38.90858
3.5620136,-119.795,38.9581
3.6938496,-120.223,39.19109
4.3452168,-119.8581,39.24089
2.1030293,-120.2885,39.4738
4.3461933,-119.9218,39.5239
3.9792633,-120.4549,38.57567
2.504654,-120.094,38.62627
4.4987946,-120.5208,38.8577
2.506607,-120.1582,38.90858
5.0407867,-119.795,38.9581
3.5652008,-120.223,39.19109
6.32106,-119.8581,39.24089
2.3249664,-120.2885,39.4738
6.3249664,-119.9218,39.5239
3.1163425,-120.4549,38.57567
2.6729832,-120.094,38.62627
4.459116,-120.5208,38.8577
2.6739597,-120.1582,38.90858
4.554819,-119.795,38.9581
3.0020847,-120.223,39.19109
5.4493504,-119.8581,39.24089
1.0352879,-120.2885,39.4738
5.454233,-119.9218,39.5239
-1.4254761,-120.4549,38.57567
2.246399,-120.094,38.62627
-0.9840698,-120.5208,38.8577
2.2493286,-120.1582,38.90858
1.2493286,-119.795,38.9581
1.623352,-120.223,39.19109
1.4251099,-119.8581,39.24089
1.2424927,-120.2885,39.4738
1.4260864,-119.9218,39.5239
1.3130646,-120.4549,38.57567
2.2261505,-120.094,38.62627
2.412674,-120.5208,38.8577
2.2261505,-120.1582,38.90858
3.45076,-119.795,38.9581
