omega,lon,lat
0.077648275,-119.9218,39.5239
-0.015337743,-120.4549,38.57567
0.006146632,-120.094,38.62627
-0.0065486804,-120.5208,38.8577
-0.0011775866,-120.1582,38.90858
-0.031451024,-119.795,38.9581
-0.008990087,-120.223,39.19109
-0.03438071,-119.8581,39.24089
-0.00068930537,-120.2885,39.4738
-0.05000571,-119.9218,39.5239
0.0589765,-120.4549,38.57567
0.11317572,-120.094,38.62627
0.036515564,-120.5208,38.8577
0.10048041,-120.1582,38.90858
0.072160095,-119.795,38.9581
0.057511657,-120.223,39.19109
0.048234314,-119.8581,39.24089
0.04676947,-120.2885,39.4738
0.027726501,-119.9218,39.5239
0.025863089,-120.4549,38.57567
0.023909964,-120.094,38.62627
0.0058435574,-120.5208,38.8577
0.08396856,-120.1582,38.90858
0.10496465,-119.795,38.9581
0.031722464,-120.223,39.19109
0.1659998,-119.8581,39.24089
0.08396856,-120.2885,39.4738
0.09568731,-119.9218,39.5239
-0.09140084,-120.4549,38.57567
-0.11435006,-120.094,38.62627
-0.11483834,-120.5208,38.8577
-0.031342246,-120.1582,38.90858
0.05361869,-119.795,38.9581
-0.0689399,-120.223,39.19109
0.093657754,-119.8581,39.24089
-0.0054633394,-120.2885,39.4738
0.008208536,-119.9218,39.5239
-0.0008936599,-120.4549,38.57567
-0.012124129,-120.094,38.62627
-0.008217879,-120.5208,38.8577
0.011801653,-120.1582,38.90858
0.03475087,-119.795,38.9581
-0.0062647536,-120.223,39.19109
0.016196184,-119.8581,39.24089
-0.023842879,-120.2885,39.4738
-0.023842879,-119.9218,39.5239
-0.02693449,-120.4549,38.57567
-0.021075115,-120.094,38.62627
-0.03425871,-120.5208,38.8577
0.01603426,-120.1582,38.90858
0.095624104,-119.795,38.9581
-0.003985271,-120.223,39.19109
0.08488192,-119.8581,39.24089
0.025799885,-120.2885,39.4738
0.026776448,-119.9218,39.5239
0.09360168,-120.4549,38.57567
0.04233215,-120.094,38.62627
0.09653137,-120.5208,38.8577
0.095066525,-120.1582,38.90858
0.106296994,-119.795,38.9581
0.08383606,-120.223,39.19109
0.11948059,-119.8581,39.24089
