air,lon,lat
268.94797,-119.795,38.9581
270.80734,-120.223,39.19109
269.97922,-119.8581,39.24089
269.23703,-120.2885,39.4738
274.14328,-119.9218,39.5239
278.26416,-120.4549,38.57567
268.95166,-120.094,38.62627
278.32666,-120.5208,38.8577
268.9204,-120.1582,38.90858
266.8423,-119.795,38.9581
271.45166,-120.223,39.19109
268.39697,-119.8581,39.24089
268.6626,-120.2885,39.4738
272.8501,-119.9218,39.5239
281.00238,-120.4549,38.57567
272.34613,-120.094,38.62627
280.55707,-120.5208,38.8577
273.00238,-120.1582,38.90858
270.36176,-119.795,38.9581
273.9477,-120.223,39.19109
272.09613,-119.8581,39.24089
272.99457,-120.2885,39.4738
273.85394,-119.9218,39.5239
277.80978,-120.4549,38.57567
268.54416,-120.094,38.62627
277.12228,-120.5208,38.8577
269.41135,-120.1582,38.90858
269.37228,-119.795,38.9581
270.53635,-120.223,39.19109
270.48947,-119.8581,39.24089
269.02853,-120.2885,39.4738
273.67697,-119.9218,39.5239
276.6071,-120.4549,38.57567
266.45084,-120.094,38.62627
276.03677,-120.5208,38.8577
267.7477,-120.1582,38.90858
268.07584,-119.795,38.9581
270.00552,-120.223,39.19109
269.26334,-119.8581,39.24089
267.70865,-120.2885,39.4738
272.57584,-119.9218,39.5239
277.20776,-120.4549,38.57567
267.40308,-120.094,38.62627
276.5515,-120.5208,38.8577
267.4265,-120.1582,38.90858
266.1609,-119.795,38.9581
269.5984,-120.223,39.19109
267.5984,-119.8581,39.24089
267.4187,-120.2885,39.4738
271.62183,-119.9218,39.5239
277.95782,-120.4549,38.57567
270.53595,-120.094,38.62627
276.66095,-120.5208,38.8577
271.3094,-120.1582,38.90858
271.8797,-119.795,38.9581
271.55157,-120.223,39.19109
272.0047,-119.8581,39.24089
270.52814,-120.2885,39.4738
274.04376,-119.9218,39.5239
275.4764,-120.4549,38.57567
266.86703,-120.094,38.62627
274.8514,-120.5208,38.8577
267.49203,-120.1582,38.90858
