wcuflx,lon,lat
-1452.043,-120.5208,38.8577
-4139.543,-120.1582,38.90858
-6952.043,-119.795,38.9581
-4402.043,-120.223,39.19109
-8114.543,-119.8581,39.24089
-5702.043,-120.2885,39.4738
-7177.043,-119.9218,39.5239
-694.2031,-120.4549,38.57567
-1126.7031,-120.094,38.62627
228.29688,-120.5208,38.8577
-964.2031,-120.1582,38.90858
-1899.2031,-119.795,38.9581
-56.703125,-120.223,39.19109
-1044.2031,-119.8581,39.24089
703.2969,-120.2885,39.4738
-96.703125,-119.9218,39.5239
52871.375,-120.4549,38.57567
48973.875,-120.094,38.62627
59563.875,-120.5208,38.8577
52361.375,-120.1582,38.90858
45581.375,-119.795,38.9581
52523.875,-120.223,39.19109
46616.375,-119.8581,39.24089
50551.375,-120.2885,39.4738
47003.875,-119.9218,39.5239
21852.984,-120.4549,38.57567
21982.984,-120.094,38.62627
22235.484,-120.5208,38.8577
24380.484,-120.1582,38.90858
24292.984,-119.795,38.9581
25352.984,-120.223,39.19109
25547.984,-119.8581,39.24089
25890.484,-120.2885,39.4738
26907.984,-119.9218,39.5239
