prmsl,lon,lat
102210.28,-120.1582,38.90858
102202.91,-119.795,38.9581
102219.28,-120.223,39.19109
102193.28,-119.8581,39.24089
102203.16,-120.2885,39.4738
102222.78,-119.9218,39.5239
101772.32,-120.4549,38.57567
101667.07,-120.094,38.62627
101769.195,-120.5208,38.8577
101632.445,-120.1582,38.90858
101558.07,-119.795,38.9581
101627.07,-120.223,39.19109
101537.695,-119.8581,39.24089
101590.82,-120.2885,39.4738
101549.195,-119.9218,39.5239
100920.54,-120.4549,38.57567
100799.54,-120.094,38.62627
100910.04,-120.5208,38.8577
100770.664,-120.1582,38.90858
100673.664,-119.795,38.9581
100758.04,-120.223,39.19109
100653.414,-119.8581,39.24089
100706.79,-120.2885,39.4738
100639.29,-119.9218,39.5239
101178.56,-120.4549,38.57567
101071.81,-120.094,38.62627
101202.81,-120.5208,38.8577
101111.31,-120.1582,38.90858
101040.81,-119.795,38.9581
101132.81,-120.223,39.19109
101056.56,-119.8581,39.24089
101127.81,-120.2885,39.4738
101082.81,-119.9218,39.5239
101131.79,-120.4549,38.57567
101076.04,-120.094,38.62627
101141.914,-120.5208,38.8577
101090.54,-120.1582,38.90858
101049.914,-119.795,38.9581
101102.164,-120.223,39.19109
101044.914,-119.8581,39.24089
101094.414,-120.2885,39.4738
101065.914,-119.9218,39.5239
101102.664,-120.4549,38.57567
101125.914,-120.094,38.62627
101116.29,-120.5208,38.8577
101133.914,-120.1582,38.90858
101150.164,-119.795,38.9581
101139.664,-120.223,39.19109
101132.79,-119.8581,39.24089
101121.664,-120.2885,39.4738
101115.164,-119.9218,39.5239
101144.7,-120.4549,38.57567
101289.83,-120.094,38.62627
101211.33,-120.5208,38.8577
101378.33,-120.1582,38.90858
101532.58,-119.795,38.9581
101440.08,-120.223,39.19109
101553.45,-119.8581,39.24089
101488.2,-120.2885,39.4738
101573.7,-119.9218,39.5239
101616.05,-120.4549,38.57567
101731.8,-120.094,38.62627
101670.17,-120.5208,38.8577
101839.55,-120.1582,38.90858
102063.8,-119.795,38.9581
101910.67,-120.223,39.19109
102082.92,-119.8581,39.24089
101984.3,-120.2885,39.4738
102141.8,-119.9218,39.5239
101843.02,-120.4549,38.57567
101908.02,-120.094,38.62627
101879.27,-120.5208,38.8577
101998.4,-120.1582,38.90858
102213.02,-119.795,38.9581
102058.4,-120.223,39.19109
102215.52,-119.8581,39.24089
102127.65,-120.2885,39.4738
102288.52,-119.9218,39.5239
101824.0,-120.4549,38.57567
101771.625,-120.094,38.62627
101811.875,-120.5208,38.8577
101799.0,-120.1582,38.90858
101895.875,-119.795,38.9581
101809.0,-120.223,39.19109
101876.5,-119.8581,39.24089
101811.25,-120.2885,39.4738
101928.0,-119.9218,39.5239
101837.04,-120.4549,38.57567
101830.414,-120.094,38.62627
101861.414,-120.5208,38.8577
101897.414,-120.1582,38.90858
102009.414,-119.795,38.9581
101938.664,-120.223,39.19109
