tcdc,lon,lat
7.5,-120.5208,38.8577
6.625,-120.1582,38.90858
6.625,-119.795,38.9581
7.25,-120.223,39.19109
6.875,-119.8581,39.24089
7.625,-120.2885,39.4738
7.25,-119.9218,39.5239
47.875,-120.4549,38.57567
28.375,-120.094,38.62627
51.625,-120.5208,38.8577
30.5,-120.1582,38.90858
22.5,-119.795,38.9581
37.875,-120.223,39.19109
28.125,-119.8581,39.24089
44.0,-120.2885,39.4738
41.875,-119.9218,39.5239
4.125,-120.4549,38.57567
9.25,-120.094,38.62627
4.75,-120.5208,38.8577
9.0,-120.1582,38.90858
21.25,-119.795,38.9581
8.5,-120.223,39.19109
18.75,-119.8581,39.24089
6.375,-120.2885,39.4738
20.375,-119.9218,39.5239
9.25,-120.4549,38.57567
7.5,-120.094,38.62627
10.25,-120.5208,38.8577
7.0,-120.1582,38.90858
5.75,-119.795,38.9581
7.0,-120.223,39.19109
5.5,-119.8581,39.24089
7.625,-120.2885,39.4738
5.875,-119.9218,39.5239
13.75,-120.4549,38.57567
10.75,-120.094,38.62627
16.625,-120.5208,38.8577
25.625,-120.1582,38.90858
36.25,-119.795,38.9581
25.875,-120.223,39.19109
40.75,-119.8581,39.24089
31.5,-120.2885,39.4738
44.5,-119.9218,39.5239
7.25,-120.4549,38.57567
7.75,-120.094,38.62627
7.125,-120.5208,38.8577
8.25,-120.1582,38.90858
9.375,-119.795,38.9581
8.625,-120.223,39.19109
9.5,-119.8581,39.24089
9.0,-120.2885,39.4738
11.875,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.625,-119.9218,39.5239
2.625,-120.4549,38.57567
2.75,-120.094,38.62627
2.625,-120.5208,38.8577
2.125,-120.1582,38.90858
2.125,-119.795,38.9581
1.75,-120.223,39.19109
1.625,-119.8581,39.24089
1.375,-120.2885,39.4738
1.125,-119.9218,39.5239
1.125,-120.4549,38.57567
3.375,-120.094,38.62627
2.0,-120.5208,38.8577
17.375,-120.1582,38.90858
57.875,-119.795,38.9581
16.625,-120.223,39.19109
44.0,-119.8581,39.24089
24.375,-120.2885,39.4738
43.0,-119.9218,39.5239
0.5,-120.4549,38.57567
0.125,-120.094,38.62627
0.875,-120.5208,38.8577
0.125,-120.1582,38.90858
0.0,-119.795,38.9581
0.5,-120.223,39.19109
0.25,-119.8581,39.24089
0.75,-120.2885,39.4738
0.875,-119.9218,39.5239
5.875,-120.4549,38.57567
5.625,-120.094,38.62627
6.625,-120.5208,38.8577
5.875,-120.1582,38.90858
5.75,-119.795,38.9581
6.375,-120.223,39.19109
5.625,-119.8581,39.24089
6.375,-120.2885,39.4738
5.625,-119.9218,39.5239
10.125,-120.4549,38.57567
8.75,-120.094,38.62627
10.75,-120.5208,38.8577
9.625,-120.1582,38.90858
9.625,-119.795,38.9581
10.375,-120.223,39.19109
10.75,-119.8581,39.24089
11.375,-120.2885,39.4738
11.75,-119.9218,39.5239
4.125,-120.4549,38.57567
3.125,-120.094,38.62627
3.375,-120.5208,38.8577
2.875,-120.1582,38.90858
2.375,-119.795,38.9581
2.25,-120.223,39.19109
2.5,-119.8581,39.24089
2.25,-120.2885,39.4738
2.0,-119.9218,39.5239
7.875,-120.4549,38.57567
6.25,-120.094,38.62627
9.625,-120.5208,38.8577
8.375,-120.1582,38.90858
7.5,-119.795,38.9581
10.25,-120.223,39.19109
9.375,-119.8581,39.24089
11.875,-120.2885,39.4738
11.5,-119.9218,39.5239
21.5,-120.4549,38.57567
17.25,-120.094,38.62627
23.5,-120.5208,38.8577
21.125,-120.1582,38.90858
18.125,-119.795,38.9581
20.625,-120.223,39.19109
18.875,-119.8581,39.24089
19.625,-120.2885,39.4738
21.625,-119.9218,39.5239
44.875,-120.4549,38.57567
39.75,-120.094,38.62627
50.0,-120.5208,38.8577
43.375,-120.1582,38.90858
42.0,-119.795,38.9581
53.875,-120.223,39.19109
53.125,-119.8581,39.24089
64.125,-120.2885,39.4738
70.375,-119.9218,39.5239
17.5,-120.4549,38.57567
16.75,-120.094,38.62627
17.375,-120.5208,38.8577
15.875,-120.1582,38.90858
14.5,-119.795,38.9581
15.75,-120.223,39.19109
14.5,-119.8581,39.24089
15.75,-120.2885,39.4738
13.375,-119.9218,39.5239
44.125,-120.4549,38.57567
41.375,-120.094,38.62627
46.875,-120.5208,38.8577
41.75,-120.1582,38.90858
39.25,-119.795,38.9581
40.5,-120.223,39.19109
37.625,-119.8581,39.24089
38.375,-120.2885,39.4738
37.625,-119.9218,39.5239
4.25,-120.4549,38.57567
4.875,-120.094,38.62627
4.125,-120.5208,38.8577
14.75,-120.1582,38.90858
16.25,-119.795,38.9581
21.25,-120.223,39.19109
18.75,-119.8581,39.24089
21.75,-120.2885,39.4738
20.625,-119.9218,39.5239
58.5,-120.4549,38.57567
51.25,-120.094,38.62627
60.25,-120.5208,38.8577
56.125,-120.1582,38.90858
48.0,-119.795,38.9581
57.5,-120.223,39.19109
53.875,-119.8581,39.24089
58.875,-120.2885,39.4738
58.625,-119.9218,39.5239
37.75,-120.4549,38.57567
40.25,-120.094,38.62627
43.625,-120.5208,38.8577
46.75,-120.1582,38.90858
47.125,-119.795,38.9581
51.75,-120.223,39.19109
50.625,-119.8581,39.24089
56.25,-120.2885,39.4738
54.0,-119.9218,39.5239
66.125,-120.4549,38.57567
67.625,-120.094,38.62627
49.375,-120.5208,38.8577
57.375,-120.1582,38.90858
64.0,-119.795,38.9581
42.25,-120.223,39.19109
52.75,-119.8581,39.24089
28.75,-120.2885,39.4738
41.75,-119.9218,39.5239
6.875,-120.4549,38.57567
6.75,-120.094,38.62627
8.125,-120.5208,38.8577
8.25,-120.1582,38.90858
8.125,-119.795,38.9581
9.875,-120.223,39.19109
9.5,-119.8581,39.24089
11.75,-120.2885,39.4738
11.75,-119.9218,39.5239
9.875,-120.4549,38.57567
8.0,-120.094,38.62627
11.25,-120.5208,38.8577
9.125,-120.1582,38.90858
8.875,-119.795,38.9581
9.875,-120.223,39.19109
9.375,-119.8581,39.24089
10.375,-120.2885,39.4738
9.625,-119.9218,39.5239
7.625,-120.4549,38.57567
6.0,-120.094,38.62627
7.875,-120.5208,38.8577
6.875,-120.1582,38.90858
6.375,-119.795,38.9581
7.125,-120.223,39.19109
6.75,-119.8581,39.24089
7.75,-120.2885,39.4738
7.5,-119.9218,39.5239
28.25,-120.4549,38.57567
24.75,-120.094,38.62627
30.75,-120.5208,38.8577
23.375,-120.1582,38.90858
18.625,-119.795,38.9581
22.625,-120.223,39.19109
17.625,-119.8581,39.24089
23.625,-120.2885,39.4738
20.875,-119.9218,39.5239
4.625,-120.4549,38.57567
4.0,-120.094,38.62627
3.75,-120.5208,38.8577
3.25,-120.1582,38.90858
2.625,-119.795,38.9581
2.5,-120.223,39.19109
1.75,-119.8581,39.24089
1.75,-120.2885,39.4738
1.75,-119.9218,39.5239
46.125,-120.4549,38.57567
48.25,-120.094,38.62627
50.75,-120.5208,38.8577
50.25,-120.1582,38.90858
49.875,-119.795,38.9581
48.375,-120.223,39.19109
47.875,-119.8581,39.24089
44.625,-120.2885,39.4738
45.25,-119.9218,39.5239
38.75,-120.4549,38.57567
22.625,-120.094,38.62627
37.75,-120.5208,38.8577
25.625,-120.1582,38.90858
19.375,-119.795,38.9581
22.25,-120.223,39.19109
20.5,-119.8581,39.24089
21.75,-120.2885,39.4738
27.0,-119.9218,39.5239
77.25,-120.4549,38.57567
74.875,-120.094,38.62627
80.25,-120.5208,38.8577
78.5,-120.1582,38.90858
81.875,-119.795,38.9581
80.375,-120.223,39.19109
86.375,-119.8581,39.24089
84.25,-120.2885,39.4738
89.5,-119.9218,39.5239
1.875,-120.4549,38.57567
1.625,-120.094,38.62627
