cdlyr,lon,lat
5.75,-120.094,38.62627
7.75,-120.5208,38.8577
6.625,-120.1582,38.90858
6.25,-119.795,38.9581
6.875,-120.223,39.19109
6.5,-119.8581,39.24089
6.875,-120.2885,39.4738
7.25,-119.9218,39.5239
44.375,-120.4549,38.57567
25.125,-120.094,38.62627
47.625,-120.5208,38.8577
29.25,-120.1582,38.90858
22.375,-119.795,38.9581
34.5,-120.223,39.19109
28.375,-119.8581,39.24089
39.625,-120.2885,39.4738
38.25,-119.9218,39.5239
13.875,-120.4549,38.57567
20.125,-120.094,38.62627
9.25,-120.5208,38.8577
19.75,-120.1582,38.90858
31.375,-119.795,38.9581
15.125,-120.223,39.19109
29.375,-119.8581,39.24089
16.5,-120.2885,39.4738
29.125,-119.9218,39.5239
10.0,-120.4549,38.57567
8.0,-120.094,38.62627
10.625,-120.5208,38.8577
7.625,-120.1582,38.90858
6.0,-119.795,38.9581
7.625,-120.223,39.19109
5.75,-119.8581,39.24089
7.25,-120.2885,39.4738
5.75,-119.9218,39.5239
16.0,-120.4549,38.57567
12.0,-120.094,38.62627
14.75,-120.5208,38.8577
24.75,-120.1582,38.90858
37.0,-119.795,38.9581
27.0,-120.223,39.19109
39.5,-119.8581,39.24089
33.125,-120.2885,39.4738
44.25,-119.9218,39.5239
7.125,-120.4549,38.57567
7.0,-120.094,38.62627
8.125,-120.5208,38.8577
8.375,-120.1582,38.90858
9.0,-119.795,38.9581
9.75,-120.223,39.19109
10.75,-119.8581,39.24089
11.25,-120.2885,39.4738
13.5,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.25,-120.2885,39.4738
0.625,-119.9218,39.5239
3.0,-120.4549,38.57567
3.0,-120.094,38.62627
3.0,-120.5208,38.8577
2.75,-120.1582,38.90858
2.625,-119.795,38.9581
2.375,-120.223,39.19109
2.25,-119.8581,39.24089
1.75,-120.2885,39.4738
1.625,-119.9218,39.5239
1.0,-120.4549,38.57567
3.0,-120.094,38.62627
2.125,-120.5208,38.8577
17.25,-120.1582,38.90858
51.0,-119.795,38.9581
17.75,-120.223,39.19109
37.625,-119.8581,39.24089
23.375,-120.2885,39.4738
42.0,-119.9218,39.5239
0.75,-120.4549,38.57567
0.375,-120.094,38.62627
1.0,-120.5208,38.8577
0.625,-120.1582,38.90858
1.375,-119.795,38.9581
0.875,-120.223,39.19109
0.5,-119.8581,39.24089
0.875,-120.2885,39.4738
1.0,-119.9218,39.5239
6.125,-120.4549,38.57567
5.75,-120.094,38.62627
6.375,-120.5208,38.8577
6.0,-120.1582,38.90858
5.875,-119.795,38.9581
6.625,-120.223,39.19109
6.0,-119.8581,39.24089
6.75,-120.2885,39.4738
6.375,-119.9218,39.5239
