hcdc,lon,lat
11.75,-120.5208,38.8577
10.75,-120.1582,38.90858
10.5,-119.795,38.9581
11.125,-120.223,39.19109
12.25,-119.8581,39.24089
12.125,-120.2885,39.4738
12.625,-119.9218,39.5239
5.5,-120.4549,38.57567
5.0,-120.094,38.62627
5.375,-120.5208,38.8577
4.875,-120.1582,38.90858
5.5,-119.795,38.9581
6.0,-120.223,39.19109
7.125,-119.8581,39.24089
7.875,-120.2885,39.4738
7.25,-119.9218,39.5239
30.125,-120.4549,38.57567
34.0,-120.094,38.62627
30.75,-120.5208,38.8577
36.5,-120.1582,38.90858
45.875,-119.795,38.9581
43.25,-120.223,39.19109
52.375,-119.8581,39.24089
54.875,-120.2885,39.4738
54.125,-119.9218,39.5239
7.5,-120.4549,38.57567
8.625,-120.094,38.62627
7.125,-120.5208,38.8577
8.5,-120.1582,38.90858
10.25,-119.795,38.9581
9.5,-120.223,39.19109
11.875,-119.8581,39.24089
9.75,-120.2885,39.4738
10.375,-119.9218,39.5239
9.0,-120.4549,38.57567
7.0,-120.094,38.62627
8.375,-120.5208,38.8577
9.125,-120.1582,38.90858
10.625,-119.795,38.9581
14.375,-120.223,39.19109
15.0,-119.8581,39.24089
21.125,-120.2885,39.4738
20.75,-119.9218,39.5239
34.625,-120.4549,38.57567
22.0,-120.094,38.62627
36.625,-120.5208,38.8577
27.75,-120.1582,38.90858
22.625,-119.795,38.9581
32.125,-120.223,39.19109
27.25,-119.8581,39.24089
37.0,-120.2885,39.4738
33.75,-119.9218,39.5239
60.75,-120.4549,38.57567
19.375,-120.094,38.62627
59.25,-120.5208,38.8577
26.0,-120.1582,38.90858
10.875,-119.795,38.9581
25.75,-120.223,39.19109
13.0,-119.8581,39.24089
22.75,-120.2885,39.4738
15.25,-119.9218,39.5239
24.25,-120.4549,38.57567
19.5,-120.094,38.62627
20.375,-120.5208,38.8577
16.625,-120.1582,38.90858
13.375,-119.795,38.9581
14.5,-120.223,39.19109
11.875,-119.8581,39.24089
13.0,-120.2885,39.4738
10.625,-119.9218,39.5239
66.25,-120.4549,38.57567
64.875,-120.094,38.62627
64.125,-120.5208,38.8577
62.5,-120.1582,38.90858
63.625,-119.795,38.9581
60.125,-120.223,39.19109
58.75,-119.8581,39.24089
57.25,-120.2885,39.4738
56.875,-119.9218,39.5239
70.875,-120.4549,38.57567
69.5,-120.094,38.62627
72.5,-120.5208,38.8577
71.625,-120.1582,38.90858
71.625,-119.795,38.9581
73.625,-120.223,39.19109
72.875,-119.8581,39.24089
76.5,-120.2885,39.4738
76.0,-119.9218,39.5239
80.375,-120.4549,38.57567
82.625,-120.094,38.62627
78.375,-120.5208,38.8577
80.375,-120.1582,38.90858
82.875,-119.795,38.9581
78.75,-120.223,39.19109
81.625,-119.8581,39.24089
77.625,-120.2885,39.4738
79.75,-119.9218,39.5239
10.375,-120.4549,38.57567
10.875,-120.094,38.62627
10.5,-120.5208,38.8577
10.0,-120.1582,38.90858
16.625,-119.795,38.9581
11.625,-120.223,39.19109
14.0,-119.8581,39.24089
13.25,-120.2885,39.4738
19.0,-119.9218,39.5239
35.625,-120.4549,38.57567
31.5,-120.094,38.62627
34.875,-120.5208,38.8577
30.125,-120.1582,38.90858
25.875,-119.795,38.9581
27.5,-120.223,39.19109
23.375,-119.8581,39.24089
28.0,-120.2885,39.4738
23.5,-119.9218,39.5239
41.625,-120.4549,38.57567
36.875,-120.094,38.62627
42.875,-120.5208,38.8577
38.625,-120.1582,38.90858
33.875,-119.795,38.9581
39.125,-120.223,39.19109
35.0,-119.8581,39.24089
39.75,-120.2885,39.4738
35.75,-119.9218,39.5239
19.625,-120.4549,38.57567
15.75,-120.094,38.62627
20.375,-120.5208,38.8577
17.0,-120.1582,38.90858
19.5,-119.795,38.9581
20.125,-120.223,39.19109
18.0,-119.8581,39.24089
27.125,-120.2885,39.4738
26.625,-119.9218,39.5239
29.25,-120.4549,38.57567
28.125,-120.094,38.62627
26.375,-120.5208,38.8577
27.125,-120.1582,38.90858
26.375,-119.795,38.9581
26.5,-120.223,39.19109
26.0,-119.8581,39.24089
22.875,-120.2885,39.4738
25.375,-119.9218,39.5239
28.875,-120.4549,38.57567
23.125,-120.094,38.62627
33.875,-120.5208,38.8577
36.75,-120.1582,38.90858
37.75,-119.795,38.9581
36.625,-120.223,39.19109
43.0,-119.8581,39.24089
38.0,-120.2885,39.4738
37.0,-119.9218,39.5239
19.5,-120.4549,38.57567
18.25,-120.094,38.62627
21.0,-120.5208,38.8577
19.375,-120.1582,38.90858
18.0,-119.795,38.9581
18.0,-120.223,39.19109
16.125,-119.8581,39.24089
16.375,-120.2885,39.4738
15.75,-119.9218,39.5239
29.25,-120.4549,38.57567
28.375,-120.094,38.62627
34.5,-120.5208,38.8577
35.0,-120.1582,38.90858
36.375,-119.795,38.9581
41.0,-120.223,39.19109
42.125,-119.8581,39.24089
46.375,-120.2885,39.4738
44.0,-119.9218,39.5239
12.75,-120.4549,38.57567
10.5,-120.094,38.62627
13.875,-120.5208,38.8577
11.75,-120.1582,38.90858
10.0,-119.795,38.9581
12.75,-120.223,39.19109
10.5,-119.8581,39.24089
14.25,-120.2885,39.4738
11.625,-119.9218,39.5239
36.25,-120.4549,38.57567
34.625,-120.094,38.62627
40.875,-120.5208,38.8577
35.0,-120.1582,38.90858
32.375,-119.795,38.9581
35.375,-120.223,39.19109
34.0,-119.8581,39.24089
36.5,-120.2885,39.4738
33.125,-119.9218,39.5239
29.25,-120.4549,38.57567
15.125,-120.094,38.62627
30.75,-120.5208,38.8577
16.125,-120.1582,38.90858
11.5,-119.795,38.9581
15.0,-120.223,39.19109
13.375,-119.8581,39.24089
15.0,-120.2885,39.4738
12.75,-119.9218,39.5239
6.625,-120.4549,38.57567
6.125,-120.094,38.62627
7.5,-120.5208,38.8577
6.625,-120.1582,38.90858
6.625,-119.795,38.9581
7.25,-120.223,39.19109
6.875,-119.8581,39.24089
7.625,-120.2885,39.4738
7.25,-119.9218,39.5239
19.125,-120.4549,38.57567
9.875,-120.094,38.62627
20.25,-120.5208,38.8577
11.625,-120.1582,38.90858
9.125,-119.795,38.9581
15.0,-120.223,39.19109
12.125,-119.8581,39.24089
17.375,-120.2885,39.4738
15.875,-119.9218,39.5239
0.625,-120.4549,38.57567
0.375,-120.094,38.62627
0.875,-120.5208,38.8577
0.875,-120.1582,38.90858
0.625,-119.795,38.9581
0.875,-120.223,39.19109
0.0,-119.8581,39.24089
0.375,-120.2885,39.4738
0.25,-119.9218,39.5239
9.125,-120.4549,38.57567
7.5,-120.094,38.62627
10.25,-120.5208,38.8577
7.0,-120.1582,38.90858
5.75,-119.795,38.9581
7.0,-120.223,39.19109
5.5,-119.8581,39.24089
7.625,-120.2885,39.4738
5.875,-119.9218,39.5239
8.75,-120.4549,38.57567
6.75,-120.094,38.62627
10.375,-120.5208,38.8577
8.875,-120.1582,38.90858
8.375,-119.795,38.9581
10.375,-120.223,39.19109
10.0,-119.8581,39.24089
12.625,-120.2885,39.4738
11.75,-119.9218,39.5239
7.25,-120.4549,38.57567
7.75,-120.094,38.62627
7.125,-120.5208,38.8577
8.25,-120.1582,38.90858
9.0,-119.795,38.9581
8.625,-120.223,39.19109
9.375,-119.8581,39.24089
8.875,-120.2885,39.4738
10.375,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.625,-119.9218,39.5239
2.625,-120.4549,38.57567
2.75,-120.094,38.62627
2.625,-120.5208,38.8577
2.125,-120.1582,38.90858
2.125,-119.795,38.9581
1.75,-120.223,39.19109
1.625,-119.8581,39.24089
1.375,-120.2885,39.4738
1.125,-119.9218,39.5239
0.0,-120.4549,38.57567
0.0,-120.094,38.62627
0.0,-120.5208,38.8577
0.0,-120.1582,38.90858
0.0,-119.795,38.9581
0.0,-120.223,39.19109
0.0,-119.8581,39.24089
0.0,-120.2885,39.4738
0.0,-119.9218,39.5239
0.5,-120.4549,38.57567
0.125,-120.094,38.62627
0.875,-120.5208,38.8577
0.125,-120.1582,38.90858
0.0,-119.795,38.9581
0.5,-120.223,39.19109
0.25,-119.8581,39.24089
0.75,-120.2885,39.4738
0.875,-119.9218,39.5239
5.875,-120.4549,38.57567
5.625,-120.094,38.62627
6.625,-120.5208,38.8577
5.875,-120.1582,38.90858
5.75,-119.795,38.9581
6.375,-120.223,39.19109
5.625,-119.8581,39.24089
6.375,-120.2885,39.4738
5.625,-119.9218,39.5239
10.125,-120.4549,38.57567
8.75,-120.094,38.62627
10.75,-120.5208,38.8577
9.625,-120.1582,38.90858
9.5,-119.795,38.9581
10.25,-120.223,39.19109
10.375,-119.8581,39.24089
11.25,-120.2885,39.4738
11.375,-119.9218,39.5239
4.125,-120.4549,38.57567
3.125,-120.094,38.62627
3.375,-120.5208,38.8577
2.875,-120.1582,38.90858
2.375,-119.795,38.9581
2.25,-120.223,39.19109
2.5,-119.8581,39.24089
2.25,-120.2885,39.4738
2.0,-119.9218,39.5239
6.75,-120.4549,38.57567
5.25,-120.094,38.62627
8.25,-120.5208,38.8577
7.375,-120.1582,38.90858
6.5,-119.795,38.9581
8.625,-120.223,39.19109
8.0,-119.8581,39.24089
9.75,-120.2885,39.4738
9.625,-119.9218,39.5239
15.75,-120.4549,38.57567
14.875,-120.094,38.62627
17.875,-120.5208,38.8577
16.5,-120.1582,38.90858
16.625,-119.795,38.9581
16.875,-120.223,39.19109
18.125,-119.8581,39.24089
17.5,-120.2885,39.4738
20.5,-119.9218,39.5239
25.5,-120.4549,38.57567
23.5,-120.094,38.62627
30.25,-120.5208,38.8577
29.0,-120.1582,38.90858
29.0,-119.795,38.9581
39.375,-120.223,39.19109
40.625,-119.8581,39.24089
47.375,-120.2885,39.4738
47.125,-119.9218,39.5239
15.0,-120.4549,38.57567
14.5,-120.094,38.62627
14.125,-120.5208,38.8577
13.625,-120.1582,38.90858
13.0,-119.795,38.9581
12.25,-120.223,39.19109
11.75,-119.8581,39.24089
10.875,-120.2885,39.4738
10.125,-119.9218,39.5239
23.125,-120.4549,38.57567
22.375,-120.094,38.62627
26.5,-120.5208,38.8577
25.125,-120.1582,38.90858
24.875,-119.795,38.9581
28.625,-120.223,39.19109
27.0,-119.8581,39.24089
32.625,-120.2885,39.4738
31.375,-119.9218,39.5239
1.25,-120.4549,38.57567
1.0,-120.094,38.62627
1.25,-120.5208,38.8577
2.0,-120.1582,38.90858
1.875,-119.795,38.9581
2.25,-120.223,39.19109
1.25,-119.8581,39.24089
8.125,-120.2885,39.4738
2.375,-119.9218,39.5239
58.5,-120.4549,38.57567
51.25,-120.094,38.62627
59.75,-120.5208,38.8577
56.125,-120.1582,38.90858
48.0,-119.795,38.9581
57.375,-120.223,39.19109
53.875,-119.8581,39.24089
57.75,-120.2885,39.4738
57.875,-119.9218,39.5239
34.375,-120.4549,38.57567
36.25,-120.094,38.62627
39.875,-120.5208,38.8577
43.75,-120.1582,38.90858
45.125,-119.795,38.9581
48.25,-120.223,39.19109
48.0,-119.8581,39.24089
51.5,-120.2885,39.4738
51.125,-119.9218,39.5239
15.75,-120.4549,38.57567
18.375,-120.094,38.62627
12.375,-120.5208,38.8577
13.75,-120.1582,38.90858
17.0,-119.795,38.9581
11.625,-120.223,39.19109
13.625,-119.8581,39.24089
8.375,-120.2885,39.4738
10.375,-119.9218,39.5239
5.125,-120.4549,38.57567
5.125,-120.094,38.62627
5.625,-120.5208,38.8577
5.625,-120.1582,38.90858
5.75,-119.795,38.9581
6.875,-120.223,39.19109
6.25,-119.8581,39.24089
8.375,-120.2885,39.4738
8.0,-119.9218,39.5239
9.5,-120.4549,38.57567
8.0,-120.094,38.62627
11.25,-120.5208,38.8577
8.875,-120.1582,38.90858
8.25,-119.795,38.9581
9.75,-120.223,39.19109
8.75,-119.8581,39.24089
10.375,-120.2885,39.4738
9.625,-119.9218,39.5239
7.625,-120.4549,38.57567
6.0,-120.094,38.62627
7.875,-120.5208,38.8577
6.875,-120.1582,38.90858
6.375,-119.795,38.9581
7.125,-120.223,39.19109
6.75,-119.8581,39.24089
7.75,-120.2885,39.4738
7.5,-119.9218,39.5239
10.875,-120.4549,38.57567
9.875,-120.094,38.62627
12.375,-120.5208,38.8577
10.5,-120.1582,38.90858
9.25,-119.795,38.9581
11.125,-120.223,39.19109
9.625,-119.8581,39.24089
12.375,-120.2885,39.4738
11.125,-119.9218,39.5239
4.625,-120.4549,38.57567
4.0,-120.094,38.62627
3.75,-120.5208,38.8577
3.25,-120.1582,38.90858
2.625,-119.795,38.9581
2.5,-120.223,39.19109
1.75,-119.8581,39.24089
1.75,-120.2885,39.4738
1.75,-119.9218,39.5239
46.125,-120.4549,38.57567
48.25,-120.094,38.62627
50.75,-120.5208,38.8577
50.25,-120.1582,38.90858
49.875,-119.795,38.9581
48.375,-120.223,39.19109
47.875,-119.8581,39.24089
44.625,-120.2885,39.4738
45.25,-119.9218,39.5239
14.375,-120.4549,38.57567
11.875,-120.094,38.62627
13.375,-120.5208,38.8577
12.125,-120.1582,38.90858
14.875,-119.795,38.9581
13.625,-120.223,39.19109
16.625,-119.8581,39.24089
17.875,-120.2885,39.4738
24.125,-119.9218,39.5239
