cdlyr,lon,lat
97.375,-120.4549,38.57567
80.125,-120.094,38.62627
84.375,-120.5208,38.8577
82.25,-120.1582,38.90858
69.0,-119.795,38.9581
82.25,-120.223,39.19109
76.625,-119.8581,39.24089
71.125,-120.2885,39.4738
66.5,-119.9218,39.5239
85.5,-120.4549,38.57567
92.5,-120.094,38.62627
89.25,-120.5208,38.8577
94.25,-120.1582,38.90858
91.375,-119.795,38.9581
95.25,-120.223,39.19109
90.25,-119.8581,39.24089
95.125,-120.2885,39.4738
89.0,-119.9218,39.5239
52.875,-120.4549,38.57567
44.25,-120.094,38.62627
65.25,-120.5208,38.8577
52.0,-120.1582,38.90858
47.375,-119.795,38.9581
58.125,-120.223,39.19109
53.0,-119.8581,39.24089
62.125,-120.2885,39.4738
61.625,-119.9218,39.5239
75.75,-120.4549,38.57567
55.625,-120.094,38.62627
72.875,-120.5208,38.8577
59.875,-120.1582,38.90858
49.5,-119.795,38.9581
58.25,-120.223,39.19109
57.75,-119.8581,39.24089
58.5,-120.2885,39.4738
64.125,-119.9218,39.5239
89.375,-120.4549,38.57567
93.25,-120.094,38.62627
91.75,-120.5208,38.8577
86.5,-120.1582,38.90858
86.75,-119.795,38.9581
81.875,-120.223,39.19109
79.375,-119.8581,39.24089
75.25,-120.2885,39.4738
67.75,-119.9218,39.5239
11.25,-120.4549,38.57567
14.875,-120.094,38.62627
12.125,-120.5208,38.8577
16.5,-120.1582,38.90858
30.0,-119.795,38.9581
18.125,-120.223,39.19109
22.75,-119.8581,39.24089
21.75,-120.2885,39.4738
29.5,-119.9218,39.5239
18.0,-120.4549,38.57567
18.5,-120.094,38.62627
22.75,-120.5208,38.8577
21.875,-120.1582,38.90858
22.5,-119.795,38.9581
25.625,-120.223,39.19109
24.5,-119.8581,39.24089
30.25,-120.2885,39.4738
30.375,-119.9218,39.5239
3.875,-120.4549,38.57567
3.5,-120.094,38.62627
4.25,-120.5208,38.8577
3.5,-120.1582,38.90858
3.125,-119.795,38.9581
3.5,-120.223,39.19109
3.375,-119.8581,39.24089
3.25,-120.2885,39.4738
3.0,-119.9218,39.5239
5.5,-120.4549,38.57567
4.875,-120.094,38.62627
6.875,-120.5208,38.8577
5.875,-120.1582,38.90858
5.875,-119.795,38.9581
7.125,-120.223,39.19109
7.25,-119.8581,39.24089
8.375,-120.2885,39.4738
8.5,-119.9218,39.5239
8.625,-120.4549,38.57567
6.875,-120.094,38.62627
8.875,-120.5208,38.8577
6.875,-120.1582,38.90858
5.875,-119.795,38.9581
6.5,-120.223,39.19109
6.125,-119.8581,39.24089
6.625,-120.2885,39.4738
6.5,-119.9218,39.5239
69.5,-120.4549,38.57567
65.625,-120.094,38.62627
69.25,-120.5208,38.8577
65.125,-120.1582,38.90858
62.0,-119.795,38.9581
63.375,-120.223,39.19109
60.875,-119.8581,39.24089
61.375,-120.2885,39.4738
60.875,-119.9218,39.5239
69.375,-120.4549,38.57567
62.125,-120.094,38.62627
68.875,-120.5208,38.8577
60.5,-120.1582,38.90858
54.25,-119.795,38.9581
57.375,-120.223,39.19109
52.625,-119.8581,39.24089
56.0,-120.2885,39.4738
52.5,-119.9218,39.5239
78.375,-120.4549,38.57567
77.75,-120.094,38.62627
80.75,-120.5208,38.8577
81.5,-120.1582,38.90858
82.0,-119.795,38.9581
80.75,-120.223,39.19109
80.125,-119.8581,39.24089
77.75,-120.2885,39.4738
77.5,-119.9218,39.5239
