albedo,lon,lat
45.0,-120.094,38.62627
17.525002,-120.5208,38.8577
37.7375,-120.1582,38.90858
48.600002,-119.795,38.9581
33.2,-120.223,39.19109
39.212498,-119.8581,39.24089
36.45,-120.2885,39.4738
28.525,-119.9218,39.5239
41.45,-120.4549,38.57567
45.0,-120.094,38.62627
25.675,-120.5208,38.8577
34.237503,-120.1582,38.90858
48.600002,-119.795,38.9581
36.95,-120.223,39.19109
47.937496,-119.8581,39.24089
38.6875,-120.2885,39.4738
41.6375,-119.9218,39.5239
41.5,-120.4549,38.57567
45.0,-120.094,38.62627
37.1125,-120.5208,38.8577
42.8125,-120.1582,38.90858
48.600002,-119.795,38.9581
36.862503,-120.223,39.19109
48.399998,-119.8581,39.24089
39.062504,-120.2885,39.4738
43.5,-119.9218,39.5239
41.5,-120.4549,38.57567
45.0,-120.094,38.62627
37.600002,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
35.9375,-120.223,39.19109
48.399998,-119.8581,39.24089
39.0875,-120.2885,39.4738
44.887497,-119.9218,39.5239
41.45,-120.4549,38.57567
45.0,-120.094,38.62627
29.425001,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
34.6625,-120.223,39.19109
48.399998,-119.8581,39.24089
38.6875,-120.2885,39.4738
42.55,-119.9218,39.5239
41.4625,-120.4549,38.57567
45.0,-120.094,38.62627
16.975,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
30.65,-120.223,39.19109
48.399998,-119.8581,39.24089
37.075,-120.2885,39.4738
37.9625,-119.9218,39.5239
41.4375,-120.4549,38.57567
45.0,-120.094,38.62627
18.95,-120.5208,38.8577
43.700005,-120.1582,38.90858
48.600002,-119.795,38.9581
28.725,-120.223,39.19109
48.399998,-119.8581,39.24089
37.1125,-120.2885,39.4738
37.625,-119.9218,39.5239
41.3875,-120.4549,38.57567
45.0,-120.094,38.62627
14.1,-120.5208,38.8577
43.687504,-120.1582,38.90858
48.600002,-119.795,38.9581
25.7125,-120.223,39.19109
48.399998,-119.8581,39.24089
36.75,-120.2885,39.4738
35.05,-119.9218,39.5239
41.325,-120.4549,38.57567
45.0,-120.094,38.62627
13.35,-120.5208,38.8577
43.425,-120.1582,38.90858
48.600002,-119.795,38.9581
20.25,-120.223,39.19109
48.399998,-119.8581,39.24089
34.037502,-120.2885,39.4738
35.7,-119.9218,39.5239
41.225002,-120.4549,38.57567
45.0,-120.094,38.62627
13.1,-120.5208,38.8577
42.4375,-120.1582,38.90858
48.600002,-119.795,38.9581
18.9375,-120.223,39.19109
48.262497,-119.8581,39.24089
31.775,-120.2885,39.4738
34.075,-119.9218,39.5239
41.05,-120.4549,38.57567
45.0,-120.094,38.62627
14.3375,-120.5208,38.8577
41.7125,-120.1582,38.90858
48.600002,-119.795,38.9581
17.6875,-120.223,39.19109
44.4375,-119.8581,39.24089
25.2375,-120.2885,39.4738
17.075,-119.9218,39.5239
33.1875,-120.4549,38.57567
45.0,-120.094,38.62627
12.675001,-120.5208,38.8577
42.350002,-120.1582,38.90858
48.600002,-119.795,38.9581
18.5375,-120.223,39.19109
30.762499,-119.8581,39.24089
31.787498,-120.2885,39.4738
21.2875,-119.9218,39.5239
29.725002,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
42.962505,-120.1582,38.90858
48.600002,-119.795,38.9581
14.425,-120.223,39.19109
29.287498,-119.8581,39.24089
31.487501,-120.2885,39.4738
10.9875,-119.9218,39.5239
40.55,-120.4549,38.57567
45.0,-120.094,38.62627
10.0,-120.5208,38.8577
42.500004,-120.1582,38.90858
48.600002,-119.795,38.9581
18.775002,-120.223,39.19109
13.85,-119.8581,39.24089
20.425001,-120.2885,39.4738
10.025,-119.9218,39.5239
41.275,-120.4549,38.57567
45.0,-120.094,38.62627
14.225,-120.5208,38.8577
41.824997,-120.1582,38.90858
