pr_wtr,lon,lat
6.378806,-120.2885,39.4738
6.816306,-119.9218,39.5239
7.4966125,-120.4549,38.57567
5.2309875,-120.094,38.62627
7.5434875,-120.5208,38.8577
5.5747375,-120.1582,38.90858
5.4341125,-119.795,38.9581
5.7466125,-120.223,39.19109
5.5434875,-119.8581,39.24089
5.5434875,-120.2885,39.4738
6.1841125,-119.9218,39.5239
11.136868,-120.4549,38.57567
5.918116,-120.094,38.62627
11.527493,-120.5208,38.8577
6.902491,-120.1582,38.90858
5.824366,-119.795,38.9581
7.371241,-120.223,39.19109
6.402491,-119.8581,39.24089
7.386866,-120.2885,39.4738
7.527491,-119.9218,39.5239
11.279514,-120.4549,38.57567
6.2482634,-120.094,38.62627
11.857639,-120.5208,38.8577
7.1857634,-120.1582,38.90858
6.1545134,-119.795,38.9581
7.7326384,-120.223,39.19109
6.6388884,-119.8581,39.24089
7.6857634,-120.2885,39.4738
7.5763884,-119.9218,39.5239
14.128063,-120.4549,38.57567
8.831189,-120.094,38.62627
13.987438,-120.5208,38.8577
9.799938,-120.1582,38.90858
9.190563,-119.795,38.9581
9.924938,-120.223,39.19109
9.549938,-119.8581,39.24089
9.393688,-120.2885,39.4738
10.315563,-119.9218,39.5239
10.952051,-120.4549,38.57567
7.8114257,-120.094,38.62627
11.014551,-120.5208,38.8577
8.592676,-120.1582,38.90858
8.061426,-119.795,38.9581
8.733301,-120.223,39.19109
8.280176,-119.8581,39.24089
8.467676,-120.2885,39.4738
8.905176,-119.9218,39.5239
10.755262,-120.4549,38.57567
7.2083864,-120.094,38.62627
10.958387,-120.5208,38.8577
8.083386,-120.1582,38.90858
7.8646364,-119.795,38.9581
8.645886,-120.223,39.19109
8.427136,-119.8581,39.24089
8.708386,-120.2885,39.4738
9.536511,-119.9218,39.5239
5.4325614,-120.4549,38.57567
3.1825614,-120.094,38.62627
5.7450614,-120.5208,38.8577
3.5419364,-120.1582,38.90858
3.198186,-119.795,38.9581
3.9169364,-120.223,39.19109
3.5263114,-119.8581,39.24089
4.1513114,-120.2885,39.4738
4.3856864,-119.9218,39.5239
12.455439,-120.4549,38.57567
8.158565,-120.094,38.62627
12.611689,-120.5208,38.8577
9.080439,-120.1582,38.90858
8.51794,-119.795,38.9581
9.346064,-120.223,39.19109
8.955439,-119.8581,39.24089
9.111689,-120.2885,39.4738
9.861689,-119.9218,39.5239
6.5336647,-120.4549,38.57567
4.033664,-120.094,38.62627
6.3930397,-120.5208,38.8577
4.486789,-120.1582,38.90858
4.564914,-119.795,38.9581
4.627414,-120.223,39.19109
4.596164,-119.8581,39.24089
4.486789,-120.2885,39.4738
5.299289,-119.9218,39.5239
9.311128,-120.4549,38.57567
7.326753,-120.094,38.62627
9.326753,-120.5208,38.8577
7.811128,-120.1582,38.90858
7.748628,-119.795,38.9581
8.092378,-120.223,39.19109
8.029878,-119.8581,39.24089
8.170503,-120.2885,39.4738
8.826753,-119.9218,39.5239
14.568,-120.4549,38.57567
9.28675,-120.094,38.62627
14.59925,-120.5208,38.8577
10.41175,-120.1582,38.90858
10.09925,-119.795,38.9581
10.5055,-120.223,39.19109
10.3805,-119.8581,39.24089
9.802375,-120.2885,39.4738
11.052375,-119.9218,39.5239
10.722902,-120.4549,38.57567
6.6994643,-120.094,38.62627
10.566652,-120.5208,38.8577
7.379152,-120.1582,38.90858
7.4182143,-119.795,38.9581
7.4338393,-120.223,39.19109
7.6057143,-119.8581,39.24089
7.1369643,-120.2885,39.4738
8.551026,-119.9218,39.5239
5.246447,-120.4549,38.57567
3.793322,-120.094,38.62627
5.277697,-120.5208,38.8577
4.199572,-120.1582,38.90858
4.371447,-119.795,38.9581
4.262072,-120.223,39.19109
4.512072,-119.8581,39.24089
4.090197,-120.2885,39.4738
4.933947,-119.9218,39.5239
5.0848427,-120.4549,38.57567
3.3192182,-120.094,38.62627
5.1473427,-120.5208,38.8577
3.8504682,-120.1582,38.90858
