hcdc,lon,lat
29.5,-120.5208,38.8577
18.75,-120.1582,38.90858
16.25,-119.795,38.9581
17.625,-120.223,39.19109
16.75,-119.8581,39.24089
16.5,-120.2885,39.4738
22.125,-119.9218,39.5239
6.75,-120.4549,38.57567
6.75,-120.094,38.62627
9.375,-120.5208,38.8577
11.125,-120.1582,38.90858
12.125,-119.795,38.9581
15.0,-120.223,39.19109
16.375,-119.8581,39.24089
19.125,-120.2885,39.4738
19.5,-119.9218,39.5239
42.0,-120.4549,38.57567
37.625,-120.094,38.62627
41.375,-120.5208,38.8577
39.75,-120.1582,38.90858
40.375,-119.795,38.9581
40.125,-120.223,39.19109
40.25,-119.8581,39.24089
41.375,-120.2885,39.4738
42.875,-119.9218,39.5239
28.625,-120.4549,38.57567
30.0,-120.094,38.62627
30.625,-120.5208,38.8577
31.25,-120.1582,38.90858
34.125,-119.795,38.9581
27.25,-120.223,39.19109
27.75,-119.8581,39.24089
21.5,-120.2885,39.4738
22.5,-119.9218,39.5239
3.875,-120.4549,38.57567
2.5,-120.094,38.62627
3.0,-120.5208,38.8577
1.75,-120.1582,38.90858
0.75,-119.795,38.9581
1.375,-120.223,39.19109
0.625,-119.8581,39.24089
1.0,-120.2885,39.4738
0.75,-119.9218,39.5239
10.125,-120.4549,38.57567
9.25,-120.094,38.62627
10.625,-120.5208,38.8577
11.625,-120.1582,38.90858
13.125,-119.795,38.9581
11.75,-120.223,39.19109
14.75,-119.8581,39.24089
11.125,-120.2885,39.4738
11.25,-119.9218,39.5239
19.375,-120.4549,38.57567
18.0,-120.094,38.62627
20.375,-120.5208,38.8577
19.0,-120.1582,38.90858
21.5,-119.795,38.9581
20.625,-120.223,39.19109
22.0,-119.8581,39.24089
26.875,-120.2885,39.4738
25.25,-119.9218,39.5239
32.875,-120.4549,38.57567
24.5,-120.094,38.62627
34.25,-120.5208,38.8577
30.25,-120.1582,38.90858
34.75,-119.795,38.9581
33.875,-120.223,39.19109
46.375,-119.8581,39.24089
42.25,-120.2885,39.4738
46.75,-119.9218,39.5239
42.375,-120.4549,38.57567
35.875,-120.094,38.62627
36.125,-120.5208,38.8577
33.375,-120.1582,38.90858
28.75,-119.795,38.9581
24.75,-120.223,39.19109
23.875,-119.8581,39.24089
24.125,-120.2885,39.4738
35.25,-119.9218,39.5239
57.0,-120.4549,38.57567
54.125,-120.094,38.62627
58.625,-120.5208,38.8577
55.0,-120.1582,38.90858
50.625,-119.795,38.9581
55.375,-120.223,39.19109
47.375,-119.8581,39.24089
54.25,-120.2885,39.4738
43.875,-119.9218,39.5239
38.625,-120.4549,38.57567
36.875,-120.094,38.62627
45.25,-120.5208,38.8577
46.0,-120.1582,38.90858
42.75,-119.795,38.9581
53.875,-120.223,39.19109
48.25,-119.8581,39.24089
59.125,-120.2885,39.4738
55.75,-119.9218,39.5239
54.0,-120.4549,38.57567
41.25,-120.094,38.62627
45.5,-120.5208,38.8577
40.875,-120.1582,38.90858
42.375,-119.795,38.9581
49.25,-120.223,39.19109
47.125,-119.8581,39.24089
54.625,-120.2885,39.4738
56.0,-119.9218,39.5239
0.375,-120.4549,38.57567
0.5,-120.094,38.62627
0.25,-120.5208,38.8577
0.25,-120.1582,38.90858
1.25,-119.795,38.9581
0.125,-120.223,39.19109
0.125,-119.8581,39.24089
0.5,-120.2885,39.4738
1.375,-119.9218,39.5239
5.875,-120.4549,38.57567
5.5,-120.094,38.62627
7.125,-120.5208,38.8577
7.0,-120.1582,38.90858
7.0,-119.795,38.9581
8.75,-120.223,39.19109
8.375,-119.8581,39.24089
13.0,-120.2885,39.4738
12.125,-119.9218,39.5239
11.375,-120.4549,38.57567
11.75,-120.094,38.62627
13.125,-120.5208,38.8577
14.625,-120.1582,38.90858
15.25,-119.795,38.9581
17.75,-120.223,39.19109
19.625,-119.8581,39.24089
23.5,-120.2885,39.4738
25.0,-119.9218,39.5239
3.125,-120.4549,38.57567
2.75,-120.094,38.62627
2.875,-120.5208,38.8577
2.25,-120.1582,38.90858
2.125,-119.795,38.9581
2.125,-120.223,39.19109
2.0,-119.8581,39.24089
2.0,-120.2885,39.4738
1.75,-119.9218,39.5239
5.5,-120.4549,38.57567
5.5,-120.094,38.62627
6.125,-120.5208,38.8577
6.0,-120.1582,38.90858
5.5,-119.795,38.9581
6.5,-120.223,39.19109
6.5,-119.8581,39.24089
7.375,-120.2885,39.4738
7.5,-119.9218,39.5239
12.5,-120.4549,38.57567
9.5,-120.094,38.62627
12.625,-120.5208,38.8577
9.25,-120.1582,38.90858
7.75,-119.795,38.9581
9.0,-120.223,39.19109
8.0,-119.8581,39.24089
9.25,-120.2885,39.4738
8.875,-119.9218,39.5239
63.75,-120.4549,38.57567
58.0,-120.094,38.62627
61.875,-120.5208,38.8577
57.375,-120.1582,38.90858
54.125,-119.795,38.9581
56.25,-120.223,39.19109
53.375,-119.8581,39.24089
55.5,-120.2885,39.4738
53.625,-119.9218,39.5239
60.375,-120.4549,38.57567
53.0,-120.094,38.62627
59.0,-120.5208,38.8577
52.875,-120.1582,38.90858
46.75,-119.795,38.9581
49.75,-120.223,39.19109
43.125,-119.8581,39.24089
49.0,-120.2885,39.4738
45.625,-119.9218,39.5239
27.25,-120.4549,38.57567
26.5,-120.094,38.62627
27.625,-120.5208,38.8577
25.625,-120.1582,38.90858
24.375,-119.795,38.9581
23.0,-120.223,39.19109
20.5,-119.8581,39.24089
20.5,-120.2885,39.4738
19.375,-119.9218,39.5239
37.5,-120.4549,38.57567
25.0,-120.094,38.62627
33.875,-120.5208,38.8577
22.625,-120.1582,38.90858
16.125,-119.795,38.9581
19.125,-120.223,39.19109
13.75,-119.8581,39.24089
15.0,-120.2885,39.4738
12.625,-119.9218,39.5239
1.625,-120.4549,38.57567
1.75,-120.094,38.62627
0.625,-120.5208,38.8577
0.625,-120.1582,38.90858
0.875,-119.795,38.9581
0.75,-120.223,39.19109
1.125,-119.8581,39.24089
1.0,-120.2885,39.4738
1.5,-119.9218,39.5239
23.75,-120.4549,38.57567
20.875,-120.094,38.62627
23.375,-120.5208,38.8577
29.125,-120.1582,38.90858
30.125,-119.795,38.9581
31.375,-120.223,39.19109
25.875,-119.8581,39.24089
28.0,-120.2885,39.4738
27.625,-119.9218,39.5239
36.625,-120.4549,38.57567
33.625,-120.094,38.62627
36.375,-120.5208,38.8577
40.625,-120.1582,38.90858
49.375,-119.795,38.9581
48.375,-120.223,39.19109
52.0,-119.8581,39.24089
61.5,-120.2885,39.4738
66.0,-119.9218,39.5239
13.0,-120.4549,38.57567
7.125,-120.094,38.62627
11.5,-120.5208,38.8577
8.125,-120.1582,38.90858
12.5,-119.795,38.9581
10.125,-120.223,39.19109
11.0,-119.8581,39.24089
12.375,-120.2885,39.4738
12.375,-119.9218,39.5239
6.375,-120.4549,38.57567
4.0,-120.094,38.62627
7.125,-120.5208,38.8577
6.25,-120.1582,38.90858
5.5,-119.795,38.9581
5.25,-120.223,39.19109
6.0,-119.8581,39.24089
4.0,-120.2885,39.4738
4.875,-119.9218,39.5239
0.625,-120.4549,38.57567
0.0,-120.094,38.62627
