hlcy,lon,lat
86.60545,-120.1582,38.90858
115.35545,-119.795,38.9581
80.35545,-120.223,39.19109
110.35545,-119.8581,39.24089
96.60545,-120.2885,39.4738
110.35545,-119.9218,39.5239
82.2785,-120.4549,38.57567
107.27852,-120.094,38.62627
76.0285,-120.5208,38.8577
77.2785,-120.1582,38.90858
88.52852,-119.795,38.9581
84.77852,-120.223,39.19109
97.27852,-119.8581,39.24089
93.52852,-120.2885,39.4738
98.52852,-119.9218,39.5239
92.53054,-120.4549,38.57567
68.78054,-120.094,38.62627
87.53054,-120.5208,38.8577
73.78054,-120.1582,38.90858
80.03054,-119.795,38.9581
86.28054,-120.223,39.19109
77.53054,-119.8581,39.24089
80.03054,-120.2885,39.4738
77.53054,-119.9218,39.5239
129.25432,-120.4549,38.57567
166.1293,-120.094,38.62627
124.8793,-120.5208,38.8577
125.8793,-120.1582,38.90858
159.87933,-119.795,38.9581
136.12932,-120.223,39.19109
170.75433,-119.8581,39.24089
157.25432,-120.2885,39.4738
162.25432,-119.9218,39.5239
37.367615,-120.4549,38.57567
78.617615,-120.094,38.62627
21.117615,-120.5208,38.8577
36.117615,-120.1582,38.90858
57.367615,-119.795,38.9581
37.367615,-120.223,39.19109
42.367615,-119.8581,39.24089
51.117615,-120.2885,39.4738
63.617615,-119.9218,39.5239
28.287468,-120.4549,38.57567
38.287468,-120.094,38.62627
29.537468,-120.5208,38.8577
29.537468,-120.1582,38.90858
34.537468,-119.795,38.9581
33.287468,-120.223,39.19109
37.037468,-119.8581,39.24089
34.537468,-120.2885,39.4738
42.037468,-119.9218,39.5239
32.281387,-120.4549,38.57567
28.531387,-120.094,38.62627
27.281387,-120.5208,38.8577
25.781387,-120.1582,38.90858
30.531387,-119.795,38.9581
34.156387,-120.223,39.19109
32.781387,-119.8581,39.24089
31.906387,-120.2885,39.4738
33.281387,-119.9218,39.5239
87.67175,-120.4549,38.57567
78.04675,-120.094,38.62627
93.79675,-120.5208,38.8577
104.04675,-120.1582,38.90858
92.29675,-119.795,38.9581
106.17175,-120.223,39.19109
96.17175,-119.8581,39.24089
87.17175,-120.2885,39.4738
87.29675,-119.9218,39.5239
182.03162,-120.4549,38.57567
136.28162,-120.094,38.62627
164.15662,-120.5208,38.8577
165.03162,-120.1582,38.90858
133.65662,-119.795,38.9581
161.03162,-120.223,39.19109
149.53162,-119.8581,39.24089
128.03162,-120.2885,39.4738
116.90662,-119.9218,39.5239
211.20277,-120.4549,38.57567
209.95277,-120.094,38.62627
202.45277,-120.5208,38.8577
224.95277,-120.1582,38.90858
208.70277,-119.795,38.9581
221.20277,-120.223,39.19109
214.95277,-119.8581,39.24089
204.95277,-120.2885,39.4738
186.20277,-119.9218,39.5239
415.3981,-120.4549,38.57567
432.8981,-120.094,38.62627
416.6481,-120.5208,38.8577
501.6481,-120.1582,38.90858
486.6481,-119.795,38.9581
469.1481,-120.223,39.19109
489.1481,-119.8581,39.24089
427.8981,-120.2885,39.4738
420.3981,-119.9218,39.5239
107.33986,-120.4549,38.57567
80.83985,-120.094,38.62627
119.08986,-120.5208,38.8577
122.96486,-120.1582,38.90858
96.33986,-119.795,38.9581
124.21486,-120.223,39.19109
106.96486,-119.8581,39.24089
96.71486,-120.2885,39.4738
92.71486,-119.9218,39.5239
232.68045,-120.4549,38.57567
201.05545,-120.094,38.62627
218.18045,-120.5208,38.8577
234.93045,-120.1582,38.90858
222.55545,-119.795,38.9581
223.55545,-120.223,39.19109
227.43045,-119.8581,39.24089
207.80545,-120.2885,39.4738
188.18045,-119.9218,39.5239
104.79039,-120.4549,38.57567
91.04039,-120.094,38.62627
108.54039,-120.5208,38.8577
107.29039,-120.1582,38.90858
88.54039,-119.795,38.9581
109.79039,-120.223,39.19109
93.54039,-119.8581,39.24089
92.29039,-120.2885,39.4738
84.79039,-119.9218,39.5239
60.769432,-120.4549,38.57567
44.519432,-120.094,38.62627
56.269432,-120.5208,38.8577
69.89443,-120.1582,38.90858
63.019432,-119.795,38.9581
68.51943,-120.223,39.19109
66.64443,-119.8581,39.24089
61.769432,-120.2885,39.4738
71.14443,-119.9218,39.5239
57.476166,-120.4549,38.57567
54.226166,-120.094,38.62627
67.601166,-120.5208,38.8577
65.101166,-120.1582,38.90858
58.351166,-119.795,38.9581
67.726166,-120.223,39.19109
70.226166,-119.8581,39.24089
71.476166,-120.2885,39.4738
66.976166,-119.9218,39.5239
35.880146,-120.4549,38.57567
20.880146,-120.094,38.62627
39.630146,-120.5208,38.8577
33.380146,-120.1582,38.90858
25.880146,-119.795,38.9581
37.130146,-120.223,39.19109
28.380146,-119.8581,39.24089
37.130146,-120.2885,39.4738
24.630146,-119.9218,39.5239
58.984463,-120.4549,38.57567
48.484463,-120.094,38.62627
62.984463,-120.5208,38.8577
69.73447,-120.1582,38.90858
74.48447,-119.795,38.9581
70.73447,-120.223,39.19109
73.60947,-119.8581,39.24089
73.23447,-120.2885,39.4738
75.60947,-119.9218,39.5239
94.31095,-120.4549,38.57567
87.81095,-120.094,38.62627
87.06095,-120.5208,38.8577
90.43596,-120.1582,38.90858
84.56096,-119.795,38.9581
84.81096,-120.223,39.19109
85.68596,-119.8581,39.24089
73.81096,-120.2885,39.4738
73.81096,-119.9218,39.5239
305.47314,-120.4549,38.57567
267.47314,-120.094,38.62627
279.72314,-120.5208,38.8577
313.84814,-120.1582,38.90858
302.34814,-119.795,38.9581
284.72314,-120.223,39.19109
303.59814,-119.8581,39.24089
269.59814,-120.2885,39.4738
270.84814,-119.9218,39.5239
257.6626,-120.4549,38.57567
270.4126,-120.094,38.62627
232.66261,-120.5208,38.8577
299.2876,-120.1582,38.90858
301.7876,-119.795,38.9581
283.5376,-120.223,39.19109
284.0376,-119.8581,39.24089
267.9126,-120.2885,39.4738
252.28761,-119.9218,39.5239
252.97989,-120.4549,38.57567
239.22989,-120.094,38.62627
271.22992,-120.5208,38.8577
295.60492,-120.1582,38.90858
273.10492,-119.795,38.9581
301.10495,-120.223,39.19109
286.85492,-119.8581,39.24089
269.97992,-120.2885,39.4738
252.10489,-119.9218,39.5239
139.40024,-120.4549,38.57567
109.40024,-120.094,38.62627
158.15024,-120.5208,38.8577
163.15024,-120.1582,38.90858
129.40024,-119.795,38.9581
190.65024,-120.223,39.19109
155.65024,-119.8581,39.24089
174.40024,-120.2885,39.4738
161.90024,-119.9218,39.5239
160.81616,-120.4549,38.57567
142.06618,-120.094,38.62627
165.81616,-120.5208,38.8577
177.06616,-120.1582,38.90858
159.56616,-119.795,38.9581
180.81616,-120.223,39.19109
157.06616,-119.8581,39.24089
148.31616,-120.2885,39.4738
139.56618,-119.9218,39.5239
85.443054,-120.4549,38.57567
91.693054,-120.094,38.62627
77.943054,-120.5208,38.8577
81.693054,-120.1582,38.90858
79.193054,-119.795,38.9581
66.693054,-120.223,39.19109
62.943054,-119.8581,39.24089
39.193054,-120.2885,39.4738
30.443056,-119.9218,39.5239
144.15366,-120.4549,38.57567
178.40366,-120.094,38.62627
