lftx4,lon,lat
4.8602586,-120.4549,38.57567
3.0727587,-120.094,38.62627
4.622759,-120.5208,38.8577
4.297759,-120.1582,38.90858
3.772759,-119.795,38.9581
3.3477588,-120.223,39.19109
3.4602585,-119.8581,39.24089
3.610259,-120.2885,39.4738
3.8227592,-119.9218,39.5239
6.4559474,-120.4549,38.57567
3.9684463,-120.094,38.62627
6.518447,-120.5208,38.8577
5.4434466,-120.1582,38.90858
5.1684465,-119.795,38.9581
5.1559463,-120.223,39.19109
5.205947,-119.8581,39.24089
5.2809463,-120.2885,39.4738
5.8309464,-119.9218,39.5239
7.0506935,-120.4549,38.57567
3.2506928,-120.094,38.62627
6.775693,-120.5208,38.8577
4.3256936,-120.1582,38.90858
3.9381933,-119.795,38.9581
3.7381935,-120.223,39.19109
3.7506933,-119.8581,39.24089
3.6131933,-120.2885,39.4738
4.350693,-119.9218,39.5239
3.0906982,-120.4549,38.57567
1.9781986,-120.094,38.62627
3.1031985,-120.5208,38.8577
2.7906985,-120.1582,38.90858
2.4906988,-119.795,38.9581
2.2406983,-120.223,39.19109
2.4156985,-119.8581,39.24089
2.6531987,-120.2885,39.4738
2.8031983,-119.9218,39.5239
3.1454983,-120.4549,38.57567
1.8579985,-120.094,38.62627
3.2829986,-120.5208,38.8577
2.8704987,-120.1582,38.90858
2.6329985,-119.795,38.9581
2.5079985,-120.223,39.19109
2.5954983,-119.8581,39.24089
2.6079984,-120.2885,39.4738
2.8079987,-119.9218,39.5239
6.8628435,-120.4549,38.57567
2.8128436,-120.094,38.62627
6.750344,-120.5208,38.8577
4.6003437,-120.1582,38.90858
4.5378437,-119.795,38.9581
4.162843,-120.223,39.19109
4.5753436,-119.8581,39.24089
4.3128433,-120.2885,39.4738
6.000343,-119.9218,39.5239
9.435169,-120.4549,38.57567
5.9226685,-120.094,38.62627
9.710169,-120.5208,38.8577
7.9351687,-120.1582,38.90858
7.460169,-119.795,38.9581
7.7226686,-120.223,39.19109
7.5726686,-119.8581,39.24089
7.6601686,-120.2885,39.4738
7.697669,-119.9218,39.5239
11.362165,-120.4549,38.57567
5.962165,-120.094,38.62627
11.474667,-120.5208,38.8577
8.324665,-120.1582,38.90858
