pres,lon,lat
79099.96,-119.8581,39.24089
77924.96,-120.2885,39.4738
81037.46,-119.9218,39.5239
87031.695,-120.4549,38.57567
77556.695,-120.094,38.62627
86806.695,-120.5208,38.8577
79581.695,-120.1582,38.90858
79456.695,-119.795,38.9581
79744.195,-120.223,39.19109
79881.695,-119.8581,39.24089
78694.195,-120.2885,39.4738
81831.695,-119.9218,39.5239
86712.3,-120.4549,38.57567
77174.8,-120.094,38.62627
86449.8,-120.5208,38.8577
79174.8,-120.1582,38.90858
79049.8,-119.795,38.9581
79312.3,-120.223,39.19109
79449.8,-119.8581,39.24089
78249.8,-120.2885,39.4738
81349.8,-119.9218,39.5239
87135.055,-120.4549,38.57567
77560.055,-120.094,38.62627
86922.555,-120.5208,38.8577
79610.055,-120.1582,38.90858
79497.555,-119.795,38.9581
79772.555,-120.223,39.19109
79910.055,-119.8581,39.24089
78735.055,-120.2885,39.4738
81860.055,-119.9218,39.5239
86841.78,-120.4549,38.57567
77379.28,-120.094,38.62627
86616.78,-120.5208,38.8577
79404.28,-120.1582,38.90858
79329.28,-119.795,38.9581
79604.28,-120.223,39.19109
79729.28,-119.8581,39.24089
78591.78,-120.2885,39.4738
81716.78,-119.9218,39.5239
86547.484,-120.4549,38.57567
77172.484,-120.094,38.62627
86397.484,-120.5208,38.8577
79197.484,-120.1582,38.90858
79147.484,-119.795,38.9581
79409.984,-120.223,39.19109
79584.984,-119.8581,39.24089
78409.984,-120.2885,39.4738
81597.484,-119.9218,39.5239
86736.21,-120.4549,38.57567
77211.21,-120.094,38.62627
86561.21,-120.5208,38.8577
79311.21,-120.1582,38.90858
79248.71,-119.795,38.9581
79511.21,-120.223,39.19109
79723.71,-119.8581,39.24089
78498.71,-120.2885,39.4738
81723.71,-119.9218,39.5239
86604.836,-120.4549,38.57567
77129.836,-120.094,38.62627
86467.336,-120.5208,38.8577
79254.836,-120.1582,38.90858
79217.336,-119.795,38.9581
79442.336,-120.223,39.19109
79704.836,-119.8581,39.24089
78442.336,-120.2885,39.4738
81679.836,-119.9218,39.5239
86322.66,-120.4549,38.57567
76822.66,-120.094,38.62627
86122.66,-120.5208,38.8577
78910.16,-120.1582,38.90858
78822.66,-119.795,38.9581
79085.16,-120.223,39.19109
79247.66,-119.8581,39.24089
78072.66,-120.2885,39.4738
81247.66,-119.9218,39.5239
86357.19,-120.4549,38.57567
76794.69,-120.094,38.62627
86069.69,-120.5208,38.8577
78794.69,-120.1582,38.90858
78657.19,-119.795,38.9581
78919.69,-120.223,39.19109
79057.19,-119.8581,39.24089
77869.69,-120.2885,39.4738
81032.19,-119.9218,39.5239
86289.125,-120.4549,38.57567
76664.125,-120.094,38.62627
86001.625,-120.5208,38.8577
78651.625,-120.1582,38.90858
78501.625,-119.795,38.9581
78789.125,-120.223,39.19109
78901.625,-119.8581,39.24089
77664.125,-120.2885,39.4738
80776.625,-119.9218,39.5239
87306.21,-120.4549,38.57567
77606.21,-120.094,38.62627
87043.71,-120.5208,38.8577
79631.21,-120.1582,38.90858
79506.21,-119.795,38.9581
79793.71,-120.223,39.19109
79918.71,-119.8581,39.24089
78756.21,-120.2885,39.4738
81881.21,-119.9218,39.5239
87772.9,-120.4549,38.57567
78235.4,-120.094,38.62627
87547.9,-120.5208,38.8577
80247.9,-120.1582,38.90858
80135.4,-119.795,38.9581
